"NearFut.avg_C.Diffs.10","NearFut.avg_C.mean.10","NearFut.avg_C.Diffs.90","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.mean.med ","avg_C_rollmean.10","avg_C_rollmean.90","avg_C_rollmean.med"
NA,NA,NA,NA,NA,NA,24.9366666666667,27.7766666666667,26.4066666666667
NA,NA,NA,NA,NA,NA,24.74,27.7333333333333,26.3066666666667
NA,NA,NA,NA,NA,NA,24.3933333333333,27.6083333333333,26.1816666666667
NA,NA,NA,NA,NA,NA,24.5,27.6016666666667,26.1216666666667
NA,NA,NA,NA,NA,NA,24.5216666666667,27.5933333333333,25.975
NA,NA,NA,NA,NA,NA,24.4016666666667,27.5416666666667,25.7883333333333
NA,NA,NA,NA,NA,NA,24.2716666666667,27.5116666666667,25.6483333333333
NA,NA,NA,NA,NA,NA,23.9966666666667,27.4416666666667,25.5533333333333
NA,NA,NA,NA,NA,NA,23.8133333333333,27.2716666666667,25.3516666666667
NA,NA,NA,NA,NA,NA,23.6666666666667,27.035,25.0683333333333
NA,NA,NA,NA,NA,NA,23.595,26.8183333333333,25.0233333333333
NA,NA,NA,NA,NA,NA,23.5283333333333,26.7116666666667,24.88
NA,NA,NA,NA,NA,NA,23.5183333333333,26.5816666666667,24.7483333333333
NA,NA,NA,NA,NA,NA,23.4166666666667,26.38,24.685
NA,NA,NA,NA,NA,NA,23.4516666666667,26.1933333333333,24.525
NA,NA,NA,NA,NA,NA,23.4266666666667,25.885,24.4416666666667
NA,NA,NA,NA,NA,NA,23.235,25.7483333333333,24.2266666666667
NA,NA,NA,NA,NA,NA,23.0983333333333,25.6416666666667,24.0483333333333
NA,NA,NA,NA,NA,NA,22.8316666666667,25.345,23.9216666666667
NA,NA,NA,NA,NA,NA,22.5883333333333,25.1083333333333,23.7283333333333
NA,NA,NA,NA,NA,NA,22.175,24.7833333333333,23.5066666666667
NA,NA,NA,NA,NA,NA,21.845,24.6666666666667,23.4966666666667
NA,NA,NA,NA,NA,NA,21.5416666666667,24.5883333333333,23.0383333333333
NA,NA,NA,NA,NA,NA,21.4283333333333,24.4183333333333,22.8866666666667
NA,NA,NA,NA,NA,NA,21.3583333333333,24.235,22.7316666666667
NA,NA,NA,NA,NA,NA,21.035,24.07,22.5283333333333
NA,NA,NA,NA,NA,NA,20.9016666666667,23.7633333333333,22.4333333333333
NA,NA,NA,NA,NA,NA,20.8133333333333,23.585,22.3966666666667
NA,NA,NA,NA,NA,NA,20.725,23.4716666666667,22.1166666666667
NA,NA,NA,NA,NA,NA,20.4866666666667,23.1033333333333,21.9016666666667
NA,NA,NA,NA,NA,NA,20.3716666666667,22.91,21.595
NA,NA,NA,NA,NA,NA,20.3033333333333,22.7666666666667,21.4383333333333
NA,NA,NA,NA,NA,NA,20.0466666666667,22.45,21.235
NA,NA,NA,NA,NA,NA,19.755,22.3433333333333,20.945
NA,NA,NA,NA,NA,NA,19.4883333333333,22.1983333333333,20.6283333333333
NA,NA,NA,NA,NA,NA,19.145,22.0633333333333,20.3783333333333
