"NearFut.ppt.Diffs.10","NearFut.ppt.sum.10","NearFut.ppt.Diffs.90","NearFut.ppt.sum.90","ppt_rollsum.10","ppt_rollsum.90","ppt_rollsum.med","NearFut.ppt.Diffs.Med","NearFut.ppt.sum.med ","NearFut.SWP.Deep.Diffs.10","NearFut.SWP.Deep.mean.10","NearFut.SWP.Deep.Diffs.90","NearFut.SWP.Deep.mean.90","SWP.Deep_rollmean.10","SWP.Deep_rollmean.90","SWP.Deep_rollmean.med","NearFut.SWP.Deep.Diffs.Med","NearFut.SWP.Deep.mean.med","NearFut.SWP.Intermediate.Diffs.10","NearFut.SWP.Intermediate.Diffs.90","SWP.Intermediate_rollmean.10","SWP.Intermediate_rollmean.90","SWP.Intermediate_rollmean.med","NearFut.SWP.Intermediate.Diffs.Med","NearFut.SWP.Intermediate.mean.10","NearFut.SWP.Intermediate.mean.90","NearFut.SWP.Intermediate.mean.med","NearFut.SWP.Shallow.Diffs.10","NearFut.SWP.Shallow.mean.10","NearFut.SWP.Shallow.Diffs.90","NearFut.SWP.Shallow.mean.90","SWP.Shallow_rollmean.10","SWP.Shallow_rollmean.90","SWP.Shallow_rollmean.med","NearFut.SWP.Shallow.Diffs.Med","NearFut.SWP.Shallow.mean.med","NearFut.avg_C.Diffs.10","NearFut.avg_C.mean.10","NearFut.avg_C.Diffs.90","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.mean.med ","avg_C_rollmean.10","avg_C_rollmean.90","avg_C_rollmean.med","NearFut.VWC.Deep.Diffs.10","NearFut.VWC.Deep.mean.10","NearFut.VWC.Deep.Diffs.90","NearFut.VWC.Deep.mean.90","VWC.Deep_rollmean.10","VWC.Deep_rollmean.90","VWC.Deep_rollmean.med","NearFut.VWC.Deep.Diffs.Med","NearFut.VWC.Deep.mean.med","NearFut.VWC.Intermediate.Diffs.10","NearFut.VWC.Intermediate.mean.10","NearFut.VWC.Intermediate.Diffs.90","NearFut.VWC.Intermediate.mean.90","VWC.Intermediate_rollmean.10","VWC.Intermediate_rollmean.90","VWC.Intermediate_rollmean.med","NearFut.VWC.Intermediate.Diffs.Med","NearFut.VWC.Intermediate.mean.med","NearFut.VWC.Shallow.Diffs.10","NearFut.VWC.Shallow.mean.10","NearFut.VWC.Shallow.Diffs.90","NearFut.VWC.Shallow.mean.90","VWC.Shallow_rollmean.10","VWC.Shallow_rollmean.90","VWC.Shallow_rollmean.med","NearFut.VWC.Shallow.Diffs.Med","NearFut.VWC.Shallow.mean.med"
NA,NA,NA,NA,1.44,5.53,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89514985280307,-2.35466395774042,-3.64553854285646,NA,NA,NA,NA,NA,NA,NA,NA,-3.99283508221511,-1.89244442693725,-3.10530853820462,NA,NA,NA,NA,NA,NA,NA,NA,28.5266666666667,30.9216666666667,29.7716666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0465657923017071,0.0533711913945868,0.0474090994354118,NA,NA,NA,NA,NA,NA,0.0462542630315173,0.0566274006652089,0.049515244097868,NA,NA
NA,NA,NA,NA,1.76,5.52,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89797108879901,-2.34765426472353,-3.64544625777096,NA,NA,NA,NA,NA,NA,NA,NA,-4.00152732042368,-1.89336271819849,-3.03773019765044,NA,NA,NA,NA,NA,NA,NA,NA,28.4316666666667,31,29.6716666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0465566563028065,0.053414330714095,0.0474094246815517,NA,NA,NA,NA,NA,NA,0.0462270124740597,0.056619956368375,0.0498113723052869,NA,NA
NA,NA,NA,NA,1.81,6.19,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89551995589413,-2.34203973665514,-3.64553165833019,NA,NA,NA,NA,NA,NA,NA,NA,-4.00755267553706,-1.69351356532533,-2.89813793920545,NA,NA,NA,NA,NA,NA,NA,NA,28.4183333333333,31.0083333333333,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0465645933189165,0.0534490021071812,0.0474091236986202,NA,NA,NA,NA,NA,NA,0.0462081668287077,0.0583577171858871,0.0504504601511535,NA,NA
NA,NA,NA,NA,1.76,6.49,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.88617380175436,-2.49907848998063,-3.64487747382926,NA,NA,NA,NA,NA,NA,NA,NA,-4.0189881231628,-1.46087008400983,-2.9828015637039,NA,NA,NA,NA,NA,NA,NA,NA,28.3716666666667,30.9516666666667,29.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0465949154569881,0.0525171581654932,0.0474114295136674,NA,NA,NA,NA,NA,NA,0.0461724987476756,0.0607421917900426,0.0500583071641221,NA,NA
NA,NA,NA,NA,1.76,7.27,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89319228579385,-2.39181931956932,-3.6455224686879,NA,NA,NA,NA,NA,NA,NA,NA,-3.99243392180621,-1.36183975868967,-2.98879489374748,NA,NA,NA,NA,NA,NA,NA,NA,28.2866666666667,30.8933333333333,29.7616666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046572136428198,0.0531452228797413,0.0474091560858639,NA,NA,NA,NA,NA,NA,0.0462555225073039,0.0619087642552028,0.0500310839399926,NA,NA
NA,NA,NA,NA,1.76,7.72,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.86532720412202,-2.3312583592101,-3.60742930884386,NA,NA,NA,NA,NA,NA,NA,NA,-3.93113905899239,-1.36157308841876,-2.98380539372114,NA,NA,NA,NA,NA,NA,NA,NA,28.2316666666667,30.835,29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466628841853334,0.0535158774960927,0.0475443074251098,NA,NA,NA,NA,NA,NA,0.046449874812158,0.0619120499590094,0.0500537426690832,NA,NA
NA,NA,NA,NA,1.76,7.72,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.85912709946081,-2.32865725913997,-3.58934692632725,NA,NA,NA,NA,NA,NA,NA,NA,-3.97646455238034,-1.37122009778775,-2.81014537112225,NA,NA,NA,NA,NA,NA,NA,NA,28.1666666666667,30.8,29.8566666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466831890914665,0.0535320706346189,0.0476090986920079,NA,NA,NA,NA,NA,NA,0.0463057906864125,0.0617937046243122,0.050873770902886,NA,NA
NA,NA,NA,NA,1.67,8.26,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.85717285987678,-2.25137512119784,-3.58624585354107,NA,NA,NA,NA,NA,NA,NA,NA,-3.9280845411128,-1.24861382396394,-3.00514573469614,NA,NA,NA,NA,NA,NA,NA,NA,28.1366666666667,30.7216666666667,29.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466895976841158,0.0540239483277183,0.0476202518706154,NA,NA,NA,NA,NA,NA,0.0464596606264403,0.0633823533522975,0.0499571657616894,NA,NA
NA,NA,NA,NA,1.78,8.39,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.86132132361166,-2.25136729943643,-3.58646392180945,NA,NA,NA,NA,NA,NA,NA,NA,-3.94684289616395,-1.24844842460984,-2.80931329415137,NA,NA,NA,NA,NA,NA,NA,NA,28.0966666666667,30.7683333333333,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046675998424533,0.0540239991925505,0.0476194671754879,NA,NA,NA,NA,NA,NA,0.046399716263224,0.0633846288910012,0.0508778539464269,NA,NA
NA,NA,NA,NA,1.75,7.23,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.86863782952427,-2.08172834563164,-3.61498375147717,NA,NA,NA,NA,NA,NA,NA,NA,-4.04464298455575,-1.24820880266189,-2.79240586577029,NA,NA,NA,NA,NA,NA,NA,NA,28.1483333333333,30.8066666666667,29.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466520590659772,0.0551831979861915,0.0475173611140826,NA,NA,NA,NA,NA,NA,0.0460929463829213,0.0633879262524206,0.0509611539922655,NA,NA
