"","Date","Hist.avg_C.mean.med","Hist.avg_C.mean.10","Hist.avg_C.mean.90","NearFut.avg_C.mean.med","NearFut.avg_C.mean.10","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.Diffs.10","NearFut.avg_C.Diffs.90"
"1",2020-09-15,15.2748558333333,13.5282736666667,16.2967613333333,16.4464191666667,15.0872115,17.429317,1.17156333333333,-0.187644333333333,2.15446116666667
"2",2020-10-15,9.37801290322581,7.59928064516129,10.8777582258065,10.8649451612903,9.08621177419355,12.3646859677419,1.48693225806452,-0.291801129032256,2.98667306451613
"3",2020-11-15,3.469435,1.98168083333333,5.4019735,4.68046833333333,3.192707,6.61300766666667,1.21103333333333,-0.276727999999999,3.14357266666667
"4",2020-12-15,-0.481197580645161,-2.5135435483871,1.55668790322581,0.798062903225806,-1.23427983870968,2.83594677419355,1.27926048387097,-0.753082258064516,3.31714435483871
"5",2021-01-15,-0.683727419354839,-2.29696193548387,0.947621774193549,0.246400806451613,-1.36682758064516,1.87774483870968,0.930128225806452,-0.683100161290322,2.56147225806452
"6",2021-02-15,0.85205775862069,-0.739091459359606,2.91909142857143,1.90954107142857,0.410258392857143,4.06457339285714,1.05748331280788,-0.441799365763547,3.21251563423645
"7",2021-03-15,4.04238870967742,2.36359967741936,5.64644032258065,5.23849112903226,3.5597,6.842545,1.19610241935484,-0.48268870967742,2.80015629032258
"8",2021-04-15,7.23055416666667,5.37445483333333,9.12003583333333,8.69127333333333,6.83517783333333,10.5807588333333,1.46071916666667,-0.395376333333332,3.35020466666667
"9",2021-05-15,11.8533524193548,9.80823193548387,13.9617879032258,13.3767717741935,11.3316533870968,15.4852135483871,1.52341935483871,-0.521699032258063,3.63186112903226
"10",2021-06-15,17.0133833333333,14.7934111666667,17.9918266666667,17.8086516666667,15.5886838333333,18.7870851666667,0.795268333333333,-1.4246995,1.77370183333333
"11",2021-07-15,19.695985483871,18.4706420967742,20.7850379032258,20.3859524193548,19.1606059677419,21.4750069354839,0.689966935483866,-0.535379516129034,1.77902145161291
"12",2021-08-15,18.6881540322581,17.7612185483871,19.7305983870968,19.3951137096774,18.468180483871,20.4375664516129,0.706959677419352,-0.219973548387095,1.74941241935484
"13",2021-09-15,15.3307108333333,13.5282736666667,16.4093123333333,16.6483108333333,14.845877,17.7269141666667,1.3176,-0.484833833333335,2.39620333333333
