"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
290,"290","propMissAct_0.06_autoCorr_0.13","MAR","Data Deletion Simple","ar1",0.322316902749922,"A",0.0515347356169105
290,"290","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.338735639846985,"B",0.0528989138706576
290,"290","propMissAct_0.13_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.342825957323197,"C",0.0532195007925931
290,"290","propMissAct_0.22_autoCorr_0.08","MAR","Data Deletion Simple","ar1",0.194601254056099,"D",0.0586860720155058
290,"290","propMissAct_0.26_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.266777582208754,"E",0.0591397062530804
290,"290","propMissAct_0.28_autoCorr_0","MAR","Data Deletion Simple","ar1",0.344681572445495,"F",0.0586063593001198
290,"290","propMissAct_0.37_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.193760424436147,"G",0.0661448050809317
290,"290","propMissAct_0.4_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.235730923815081,"H",0.0663091866022105
290,"290","propMissAct_0.5_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.112331798473989,"I",0.075630725139688
290,"290","propMissAct_0.54_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.165722121072388,"J",0.0771765607126029
290,"290","propMissAct_0.56_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.0860456217183114,"K",0.07981428798019
290,"290","propMissAct_0.61_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.096833899280238,"L",0.0856050204887003
290,"290","propMissAct_0.65_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.0658522610940397,"M",0.0919598725584184
290,"290","propMissAct_0.65_autoCorr_0","MAR","Data Deletion Simple","ar1",0.19203244551328,"N",0.0929938962593359
290,"290","propMissAct_0.75_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.0180767283917661,"O",0.110071714410759
290,"290","propMissAct_0.06_autoCorr_0.13","MAR","Data Deletion Simple","intercept",1.48312449925558,"A",0.0809639010798932
290,"290","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","intercept",1.41874198570178,"B",0.0855694209227481
290,"290","propMissAct_0.13_autoCorr_0.02","MAR","Data Deletion Simple","intercept",1.46420303454709,"C",0.0878208889201041
290,"290","propMissAct_0.22_autoCorr_0.08","MAR","Data Deletion Simple","intercept",1.49774167899034,"D",0.0755885733057464
290,"290","propMissAct_0.26_autoCorr_0.05","MAR","Data Deletion Simple","intercept",1.44489772230263,"E",0.0832934060746066
290,"290","propMissAct_0.28_autoCorr_0","MAR","Data Deletion Simple","intercept",1.46874988308462,"F",0.0943050460419882
290,"290","propMissAct_0.37_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.40278939051841,"G",0.0875274643065343
290,"290","propMissAct_0.4_autoCorr_0.02","MAR","Data Deletion Simple","intercept",1.46160459063681,"H",0.0924134997347702
290,"290","propMissAct_0.5_autoCorr_0.02","MAR","Data Deletion Simple","intercept",1.46271299564936,"I",0.092206439723165
290,"290","propMissAct_0.54_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.46954902168702,"J",0.093301445892638
290,"290","propMissAct_0.56_autoCorr_0.04","MAR","Data Deletion Simple","intercept",1.43952582590223,"K",0.0948324991313304
290,"290","propMissAct_0.61_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.46020093465564,"L",0.103175153153497
290,"290","propMissAct_0.65_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.43648490155791,"M",0.101272926115474
290,"290","propMissAct_0.65_autoCorr_0","MAR","Data Deletion Simple","intercept",1.41346102123787,"N",0.126958984079086
290,"290","propMissAct_0.75_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.47554078617491,"O",0.112176976548491
290,"290","propMissAct_0.06_autoCorr_0.13","MAR","Data Deletion Simple","light",0.116450768830694,"A",0.0483192666060154
290,"290","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","light",0.116745180320183,"B",0.0504437013018113
290,"290","propMissAct_0.13_autoCorr_0.02","MAR","Data Deletion Simple","light",0.122098676523607,"C",0.0532884685497751
290,"290","propMissAct_0.22_autoCorr_0.08","MAR","Data Deletion Simple","light",0.165525356797421,"D",0.0561404395125803
290,"290","propMissAct_0.26_autoCorr_0.05","MAR","Data Deletion Simple","light",0.120464762339617,"E",0.0559546184374159
290,"290","propMissAct_0.28_autoCorr_0","MAR","Data Deletion Simple","light",0.134095620954514,"F",0.0564639190393242
290,"290","propMissAct_0.37_autoCorr_0.03","MAR","Data Deletion Simple","light",0.0937657552422124,"G",0.0650546372879229
290,"290","propMissAct_0.4_autoCorr_0.02","MAR","Data Deletion Simple","light",0.0973156428398713,"H",0.0622214008921341
