"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
177,"177","propMissAct_0.07_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.244252195030501,"A",0.0526701213451461
177,"177","propMissAct_0.09_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.247552961757209,"B",0.0532748480543031
177,"177","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.230126764674017,"C",0.0554589614245331
177,"177","propMissAct_0.19_autoCorr_0","MAR","Data Deletion Simple","ar1",0.162107784552945,"D",0.0576860598371425
177,"177","propMissAct_0.24_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.280517811625127,"E",0.057787745126749
177,"177","propMissAct_0.31_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.166614522828905,"F",0.0626777824646875
177,"177","propMissAct_0.32_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.19356210507511,"G",0.0629252481988541
177,"177","propMissAct_0.38_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.121906106137987,"H",0.06589041161212
177,"177","propMissAct_0.47_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.137497728237266,"I",0.0716114927618958
177,"177","propMissAct_0.53_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.163659177180796,"J",0.0752618125911853
177,"177","propMissAct_0.56_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.115005780409632,"K",0.0791797357661506
177,"177","propMissAct_0.56_autoCorr_0.08","MAR","Data Deletion Simple","ar1",0.162457876825255,"L",0.0787876648305399
177,"177","propMissAct_0.64_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.181234346465889,"M",0.0872064754482738
177,"177","propMissAct_0.66_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.0576265325887451,"N",0.0908938489543367
177,"177","propMissAct_0.75_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.181213348699417,"O",0.103944174900805
177,"177","propMissAct_0.07_autoCorr_0.02","MAR","Data Deletion Simple","intercept",1.74911495852794,"A",0.0685705996226769
177,"177","propMissAct_0.09_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.73189282196826,"B",0.0712958892318471
177,"177","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","intercept",1.73672136861612,"C",0.0713741188563173
177,"177","propMissAct_0.19_autoCorr_0","MAR","Data Deletion Simple","intercept",1.71995256249913,"D",0.0692832408767512
177,"177","propMissAct_0.24_autoCorr_0.06","MAR","Data Deletion Simple","intercept",1.72094821431904,"E",0.0804779123509887
177,"177","propMissAct_0.31_autoCorr_0.06","MAR","Data Deletion Simple","intercept",1.73098480037733,"F",0.0755234115017606
177,"177","propMissAct_0.32_autoCorr_0.07","MAR","Data Deletion Simple","intercept",1.78336984733769,"G",0.0740198712930726
177,"177","propMissAct_0.38_autoCorr_0.06","MAR","Data Deletion Simple","intercept",1.71089191868596,"H",0.0781286261792848
177,"177","propMissAct_0.47_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.66420185846473,"I",0.0826247790784237
177,"177","propMissAct_0.53_autoCorr_0.03","MAR","Data Deletion Simple","intercept",1.76023981590233,"J",0.0917885167485706
