"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
286,"286","propMissAct_0.04_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.160671477297025,"A",0.0537642455769869
286,"286","propMissAct_0.09_autoCorr_0","MAR","Data Deletion Simple","ar1",0.150399853634923,"B",0.0548909213127167
286,"286","propMissAct_0.15_autoCorr_0.12","MAR","Data Deletion Simple","ar1",0.202727672196976,"C",0.0557073594006343
286,"286","propMissAct_0.23_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.183845432462446,"D",0.059403381494812
286,"286","propMissAct_0.25_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.206280146278233,"E",0.0591828788224914
286,"286","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.248629081476903,"F",0.0629794968646182
286,"286","propMissAct_0.36_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.0971601306366646,"G",0.0664570503923063
286,"286","propMissAct_0.38_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.234935013896029,"H",0.065588170553537
286,"286","propMissAct_0.43_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.20023822165235,"I",0.0699909618005933
286,"286","propMissAct_0.53_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.149168597278265,"J",0.0777048636535181
286,"286","propMissAct_0.56_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.0848381672883351,"K",0.080064313094637
286,"286","propMissAct_0.59_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.0936922021575827,"L",0.0825615559425373
286,"286","propMissAct_0.65_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.0747697390929844,"M",0.093218635641341
286,"286","propMissAct_0.68_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.176415691813809,"N",0.0932034755049101
286,"286","propMissAct_0.75_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.26244581416516,"O",0.103634921185912
286,"286","propMissAct_0.04_autoCorr_0.03","MAR","Data Deletion Simple","intercept",-1.769887455221,"A",0.0673846777800313
286,"286","propMissAct_0.09_autoCorr_0","MAR","Data Deletion Simple","intercept",-1.76927754477714,"B",0.0689792565734336
286,"286","propMissAct_0.15_autoCorr_0.12","MAR","Data Deletion Simple","intercept",-1.75682011590215,"C",0.074905515575635
286,"286","propMissAct_0.23_autoCorr_0.06","MAR","Data Deletion Simple","intercept",-1.78677343615023,"D",0.0758492446971889
286,"286","propMissAct_0.25_autoCorr_0.03","MAR","Data Deletion Simple","intercept",-1.75490869258647,"E",0.0784480742149385
286,"286","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","intercept",-1.77853228653989,"F",0.0877542525892091
286,"286","propMissAct_0.36_autoCorr_0.02","MAR","Data Deletion Simple","intercept",-1.65295738312986,"G",0.0716699244413085
