"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
256,"256","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","ar1",0.0744793598767888,"A",0.0537055526476352
256,"256","propMissAct_0.11_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.0955292143517574,"B",0.0554726891942252
256,"256","propMissAct_0.16_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.120455934085392,"C",0.0567619784534222
256,"256","propMissAct_0.2_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.0831299664365103,"D",0.0581639415080558
256,"256","propMissAct_0.24_autoCorr_0","MAR","Data Deletion Simple","ar1",0.0821398209266941,"E",0.0601187212955445
256,"256","propMissAct_0.29_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.140156768058239,"F",0.0619558219822222
256,"256","propMissAct_0.36_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.0837275499496394,"G",0.065360757853176
256,"256","propMissAct_0.38_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.0610584921635615,"H",0.06602802009771
256,"256","propMissAct_0.45_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.0478257462325731,"I",0.0710893896076643
256,"256","propMissAct_0.51_autoCorr_0.02","MAR","Data Deletion Simple","ar1",-0.0432717871461126,"J",0.0749439911590778
256,"256","propMissAct_0.56_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.0263518871975594,"K",0.0785721397290312
256,"256","propMissAct_0.62_autoCorr_0.03","MAR","Data Deletion Simple","ar1",-0.0492669994712232,"L",0.086871891622161
256,"256","propMissAct_0.65_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.0608782305178074,"M",0.0896887752653066
256,"256","propMissAct_0.72_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.18770227096878,"N",0.0971123801951863
256,"256","propMissAct_0.72_autoCorr_0.01","MAR","Data Deletion Simple","ar1",-0.0654175115137061,"O",0.101259024018436
256,"256","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","intercept",0.916939035150275,"A",0.0536450508963335
256,"256","propMissAct_0.11_autoCorr_0.05","MAR","Data Deletion Simple","intercept",0.943204716457809,"B",0.0554008905720114
256,"256","propMissAct_0.16_autoCorr_0.02","MAR","Data Deletion Simple","intercept",0.947932695287191,"C",0.056207710326069
256,"256","propMissAct_0.2_autoCorr_0.07","MAR","Data Deletion Simple","intercept",0.901892340672349,"D",0.0583565687807304
256,"256","propMissAct_0.24_autoCorr_0","MAR","Data Deletion Simple","intercept",0.897245458115628,"E",0.0620213563152506
256,"256","propMissAct_0.29_autoCorr_0.05","MAR","Data Deletion Simple","intercept",0.89022238428679,"F",0.0666247957918468
256,"256","propMissAct_0.36_autoCorr_0.05","MAR","Data Deletion Simple","intercept",0.946868683274446,"G",0.0660151845410849
256,"256","propMissAct_0.38_autoCorr_0.02","MAR","Data Deletion Simple","intercept",0.867881210612496,"H",0.0641287470632619
256,"256","propMissAct_0.45_autoCorr_0.04","MAR","Data Deletion Simple","intercept",0.846787000928648,"I",0.0698198381355699
256,"256","propMissAct_0.51_autoCorr_0.02","MAR","Data Deletion Simple","intercept",0.903407148095589,"J",0.0670825640517025
256,"256","propMissAct_0.56_autoCorr_0.05","MAR","Data Deletion Simple","intercept",0.883722469717138,"K",0.0733856780928664
256,"256","propMissAct_0.62_autoCorr_0.03","MAR","Data Deletion Simple","intercept",0.934174137335267,"L",0.075973908904478
256,"256","propMissAct_0.65_autoCorr_0.03","MAR","Data Deletion Simple","intercept",0.956559987463123,"M",0.0782062241633088
256,"256","propMissAct_0.72_autoCorr_0.01","MAR","Data Deletion Simple","intercept",0.915017027640744,"N",0.111799224304516
256,"256","propMissAct_0.72_autoCorr_0.01","MAR","Data Deletion Simple","intercept",0.845781705499485,"O",0.0856540168938794
256,"256","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","light",-1.42627511861292,"A",0.0496752709950396
256,"256","propMissAct_0.11_autoCorr_0.05","MAR","Data Deletion Simple","light",-1.4276606220469,"B",0.0495409632325194
256,"256","propMissAct_0.16_autoCorr_0.02","MAR","Data Deletion Simple","light",-1.43607432884772,"C",0.0507957012690972
256,"256","propMissAct_0.2_autoCorr_0.07","MAR","Data Deletion Simple","light",-1.3950529329503,"D",0.055358987719542
256,"256","propMissAct_0.24_autoCorr_0","MAR","Data Deletion Simple","light",-1.43468582114796,"E",0.0553185370650617
256,"256","propMissAct_0.29_autoCorr_0.05","MAR","Data Deletion Simple","light",-1.45638693773504,"F",0.0565677371285719
256,"256","propMissAct_0.36_autoCorr_0.05","MAR","Data Deletion Simple","light",-1.44027310920238,"G",0.0598588525105246
256,"256","propMissAct_0.38_autoCorr_0.02","MAR","Data Deletion Simple","light",-1.48022582961604,"H",0.0588527179895089
256,"256","propMissAct_0.45_autoCorr_0.04","MAR","Data Deletion Simple","light",-1.36450614772834,"I",0.0708571784558632
256,"256","propMissAct_0.51_autoCorr_0.02","MAR","Data Deletion Simple","light",-1.46147730947897,"J",0.0666714032232434
256,"256","propMissAct_0.56_autoCorr_0.05","MAR","Data Deletion Simple","light",-1.50446209880956,"K",0.0717790824858771
256,"256","propMissAct_0.62_autoCorr_0.03","MAR","Data Deletion Simple","light",-1.53768263232188,"L",0.0763545700045377
256,"256","propMissAct_0.65_autoCorr_0.03","MAR","Data Deletion Simple","light",-1.32432272776773,"M",0.0769821770263046
256,"256","propMissAct_0.72_autoCorr_0.01","MAR","Data Deletion Simple","light",-1.38578303078765,"N",0.0926375292697937
256,"256","propMissAct_0.72_autoCorr_0.01","MAR","Data Deletion Simple","light",-1.3473188131911,"O",0.0858839070146806
256,"256","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","discharge",1.1407299213269,"A",0.0494219586416771
256,"256","propMissAct_0.11_autoCorr_0.05","MAR","Data Deletion Simple","discharge",1.18933389321102,"B",0.0502210133959347
256,"256","propMissAct_0.16_autoCorr_0.02","MAR","Data Deletion Simple","discharge",1.2213159506615,"C",0.0488417499781948
256,"256","propMissAct_0.2_autoCorr_0.07","MAR","Data Deletion Simple","discharge",1.12974617736472,"D",0.0524687535479973
256,"256","propMissAct_0.24_autoCorr_0","MAR","Data Deletion Simple","discharge",1.2029574777326,"E",0.0579110139774584
256,"256","propMissAct_0.29_autoCorr_0.05","MAR","Data Deletion Simple","discharge",1.12426568437513,"F",0.0554506697398916
