"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
214,"214","propMissAct_0.03_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.480139454297256,"A",0.0464714970852064
214,"214","propMissAct_0.1_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.413308353881462,"B",0.0502921315581744
214,"214","propMissAct_0.16_autoCorr_0","MAR","Data Deletion Simple","ar1",0.468423360867797,"C",0.0502357463295518
214,"214","propMissAct_0.2_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.416996919786446,"D",0.0530119281699379
214,"214","propMissAct_0.27_autoCorr_0.09","MAR","Data Deletion Simple","ar1",0.411366768192971,"E",0.0557593336754805
214,"214","propMissAct_0.28_autoCorr_0.1","MAR","Data Deletion Simple","ar1",0.421156237625089,"F",0.05587119639791
214,"214","propMissAct_0.3_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.37857075227393,"G",0.0581234711513957
214,"214","propMissAct_0.39_autoCorr_0","MAR","Data Deletion Simple","ar1",0.236642503409322,"H",0.0653104791261597
214,"214","propMissAct_0.46_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.296258662467054,"I",0.0682210460933123
214,"214","propMissAct_0.49_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.318710328467505,"J",0.0697394054923853
214,"214","propMissAct_0.54_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.179929317409955,"K",0.0764659767840001
214,"214","propMissAct_0.62_autoCorr_0.11","MAR","Data Deletion Simple","ar1",0.166297164218692,"L",0.0867266844500182
214,"214","propMissAct_0.68_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.10085301790839,"M",0.0989926680099065
214,"214","propMissAct_0.67_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.255169489625968,"N",0.0885109826647483
214,"214","propMissAct_0.75_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.0788850281942656,"O",0.105366320770562
214,"214","propMissAct_0.03_autoCorr_0.07","MAR","Data Deletion Simple","intercept",0.360996424327559,"A",0.103087993244627
214,"214","propMissAct_0.1_autoCorr_0.01","MAR","Data Deletion Simple","intercept",0.381565900925144,"B",0.098146467659998
214,"214","propMissAct_0.16_autoCorr_0","MAR","Data Deletion Simple","intercept",0.379060079066508,"C",0.113169029588963
214,"214","propMissAct_0.2_autoCorr_0.01","MAR","Data Deletion Simple","intercept",0.341958546276466,"D",0.103468750224703
214,"214","propMissAct_0.27_autoCorr_0.09","MAR","Data Deletion Simple","intercept",0.284019685331778,"E",0.108919357062847
214,"214","propMissAct_0.28_autoCorr_0.1","MAR","Data Deletion Simple","intercept",0.353491702675749,"F",0.111826981390901
214,"214","propMissAct_0.3_autoCorr_0.04","MAR","Data Deletion Simple","intercept",0.347241127558369,"G",0.107763474870143
214,"214","propMissAct_0.39_autoCorr_0","MAR","Data Deletion Simple","intercept",0.316721533841066,"H",0.0982395123208135
214,"214","propMissAct_0.46_autoCorr_0.03","MAR","Data Deletion Simple","intercept",0.409366680486368,"I",0.120160769083138
214,"214","propMissAct_0.49_autoCorr_0.01","MAR","Data Deletion Simple","intercept",0.393029605494251,"J",0.113505648864325
214,"214","propMissAct_0.54_autoCorr_0.06","MAR","Data Deletion Simple","intercept",0.367440909119284,"K",0.106376431879576
214,"214","propMissAct_0.62_autoCorr_0.11","MAR","Data Deletion Simple","intercept",0.437781482012859,"L",0.117618085266785
214,"214","propMissAct_0.68_autoCorr_0.05","MAR","Data Deletion Simple","intercept",0.404142325271606,"M",0.112102691622054
214,"214","propMissAct_0.67_autoCorr_0.02","MAR","Data Deletion Simple","intercept",0.202649423173979,"N",0.145237567355869
214,"214","propMissAct_0.75_autoCorr_0.04","MAR","Data Deletion Simple","intercept",0.376470662229189,"O",0.134737146597071
214,"214","propMissAct_0.03_autoCorr_0.07","MAR","Data Deletion Simple","light",2.37144504127866,"A",0.0462046992285435
214,"214","propMissAct_0.1_autoCorr_0.01","MAR","Data Deletion Simple","light",2.35070133972624,"B",0.0521237442340942
214,"214","propMissAct_0.16_autoCorr_0","MAR","Data Deletion Simple","light",2.38121957075239,"C",0.0498192546364457
214,"214","propMissAct_0.2_autoCorr_0.01","MAR","Data Deletion Simple","light",2.35351448562588,"D",0.0530782008640858
214,"214","propMissAct_0.27_autoCorr_0.09","MAR","Data Deletion Simple","light",2.41405561922273,"E",0.0578558281605228
214,"214","propMissAct_0.28_autoCorr_0.1","MAR","Data Deletion Simple","light",2.33410991013979,"F",0.0565170331218009
214,"214","propMissAct_0.3_autoCorr_0.04","MAR","Data Deletion Simple","light",2.38483782166259,"G",0.0611769523545075
214,"214","propMissAct_0.39_autoCorr_0","MAR","Data Deletion Simple","light",2.4120232746404,"H",0.0775387811304966
214,"214","propMissAct_0.46_autoCorr_0.03","MAR","Data Deletion Simple","light",2.3451321410981,"I",0.0794264067615556
214,"214","propMissAct_0.49_autoCorr_0.01","MAR","Data Deletion Simple","light",2.42515681126031,"J",0.0707413967562799
