"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
225,"225","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","ar1",0.289138524183596,"A",0.0520350685266533
225,"225","propMissAct_0.12_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.299796312782945,"B",0.053609491655802
225,"225","propMissAct_0.14_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.238780049834311,"C",0.0553323721228393
225,"225","propMissAct_0.15_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.295858360522381,"D",0.0546382043430406
225,"225","propMissAct_0.28_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.232603440073599,"E",0.0599985389355644
225,"225","propMissAct_0.3_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.314827367168853,"F",0.0606732747067778
225,"225","propMissAct_0.36_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.184729608470499,"G",0.0653378446290149
225,"225","propMissAct_0.42_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.206047584859441,"H",0.0703780934413555
225,"225","propMissAct_0.43_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.240232863952189,"I",0.0686313703137507
225,"225","propMissAct_0.54_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.0932992276221125,"J",0.0770537017036832
225,"225","propMissAct_0.54_autoCorr_0.1","MAR","Data Deletion Simple","ar1",0.174822777014157,"K",0.0760269560699336
225,"225","propMissAct_0.55_autoCorr_0","MAR","Data Deletion Simple","ar1",0.0737583699223817,"L",0.0785830555723943
225,"225","propMissAct_0.61_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.12701893598366,"M",0.084174714279131
225,"225","propMissAct_0.69_autoCorr_0","MAR","Data Deletion Simple","ar1",0.0913227318933887,"N",0.0944198615377726
225,"225","propMissAct_0.7_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.308799958787603,"O",0.0942882940523611
225,"225","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","intercept",0.861654499729622,"A",0.0720118455578859
225,"225","propMissAct_0.12_autoCorr_0.02","MAR","Data Deletion Simple","intercept",0.86720167007894,"B",0.0762316160285277
225,"225","propMissAct_0.14_autoCorr_0.04","MAR","Data Deletion Simple","intercept",0.82677134722382,"C",0.0717035833260823
225,"225","propMissAct_0.15_autoCorr_0.07","MAR","Data Deletion Simple","intercept",0.833180080083564,"D",0.0759360164692892
225,"225","propMissAct_0.28_autoCorr_0.06","MAR","Data Deletion Simple","intercept",0.860243530659381,"E",0.07676435338846
225,"225","propMissAct_0.3_autoCorr_0.04","MAR","Data Deletion Simple","intercept",0.856753803340883,"F",0.088655341369564
225,"225","propMissAct_0.36_autoCorr_0.01","MAR","Data Deletion Simple","intercept",0.820470466580123,"G",0.078473165857797
