"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.399529536474223,"A",0.0492244962009886
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.391289399540153,"B",0.0515377068875024
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.389447422577541,"C",0.0524171862071206
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion Simple","ar1",0.350068479784151,"D",0.0547986234651432
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion Simple","ar1",0.339831547807708,"E",0.0586495526024491
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.352873508553847,"F",0.0605125525446225
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.382464847339555,"G",0.0601534402152806
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.231773787154596,"H",0.0653593268345858
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion Simple","ar1",0.280418734515138,"I",0.0672350903078302
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.152273970273432,"J",0.075669261076428
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion Simple","ar1",0.198178806890533,"K",0.0761252548323113
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.119878230453021,"L",0.083776497643879
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.208199583515964,"M",0.0897768805576031
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.258949614786187,"N",0.0972510310637782
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion Simple","ar1",-0.0148499191623746,"O",0.107479205900489
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion Simple","intercept",-0.251669762907113,"A",0.0883997147117305
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","intercept",-0.256237931773052,"B",0.0886535042447864
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","intercept",-0.2268885550484,"C",0.0916904589384355
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion Simple","intercept",-0.30896538887902,"D",0.0893868529790016
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion Simple","intercept",-0.218729359139707,"E",0.0938359469576421
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion Simple","intercept",-0.319895296427623,"F",0.100235229033301
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","intercept",-0.199733698183838,"G",0.105828912682215
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion Simple","intercept",-0.22700757781221,"H",0.0909520169047242
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion Simple","intercept",-0.308827905605888,"I",0.103170700381969
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion Simple","intercept",-0.217058352824777,"J",0.0926201439498644
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion Simple","intercept",-0.259456832339014,"K",0.105936349518739
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion Simple","intercept",-0.323375351149632,"L",0.0950046117804081
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion Simple","intercept",-0.26941125124967,"M",0.124296411923908
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion Simple","intercept",-0.315272190592339,"N",0.137525846059384
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion Simple","intercept",-0.202817679072024,"O",0.0886233018244925
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion Simple","light",-0.398430207155867,"A",0.0495331160872869
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","light",-0.393007465994374,"B",0.0500019174934563
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","light",-0.340441052632902,"C",0.0536389242401618
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion Simple","light",-0.431885402908929,"D",0.0548774648130041
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion Simple","light",-0.391322797403984,"E",0.0589201660412149
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion Simple","light",-0.378235334093385,"F",0.0607664119774726
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","light",-0.389083691298876,"G",0.0636953437297711
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion Simple","light",-0.361246797123438,"H",0.0754662852675735
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion Simple","light",-0.416898207729892,"I",0.0698132333904988
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion Simple","light",-0.331687208495291,"J",0.0869714237229026
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion Simple","light",-0.422790760304522,"K",0.0849787530155521
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion Simple","light",-0.423076895123334,"L",0.0860356910356163
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion Simple","light",-0.468145046340559,"M",0.0978979492339701
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion Simple","light",-0.414323687203223,"N",0.0938873189021842
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion Simple","light",-0.438369218143308,"O",0.0836970448112957
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion Simple","discharge",-0.013664041969273,"A",0.0486707094044388
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","discharge",-0.040035219335361,"B",0.0502214775081209
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","discharge",-0.0131557174235152,"C",0.0521039434902293
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion Simple","discharge",0.0204545810756438,"D",0.0543246877493824
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion Simple","discharge",0.047094491156268,"E",0.061309182544144
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion Simple","discharge",-0.0418358795230913,"F",0.0617346069456786
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","discharge",-0.0144732173211466,"G",0.0586574906633736
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion Simple","discharge",0.0327989085462845,"H",0.0727455232609419
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion Simple","discharge",-0.0513649168741007,"I",0.0736331447985987
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion Simple","discharge",0.0446434630055969,"J",0.0786779522241114
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion Simple","discharge",-0.00676423954837901,"K",0.0819296396268322
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion Simple","discharge",0.0672181183356048,"L",0.0905807834909367
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion Simple","discharge",-0.0582906901177319,"M",0.0970677149260216
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion Simple","discharge",0.103119349292084,"N",0.0992786409743159
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion Simple","discharge",-0.0483864499256496,"O",0.0966868822520557
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion Simple","sigma",0.983927850655792,"A",NA
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion Simple","sigma",0.938329763673395,"B",NA
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion Simple","sigma",0.975311566873498,"C",NA
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion Simple","sigma",0.999132646294159,"D",NA
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion Simple","sigma",1.02404159142088,"E",NA
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion Simple","sigma",1.04353296289629,"F",NA
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion Simple","sigma",1.03335730657251,"G",NA
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion Simple","sigma",1.10112602352096,"H",NA
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion Simple","sigma",1.1298886284546,"I",NA
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion Simple","sigma",1.09121021354248,"J",NA
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion Simple","sigma",1.20460129412178,"K",NA
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion Simple","sigma",1.02722908210804,"L",NA
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion Simple","sigma",1.21467219761663,"M",NA
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion Simple","sigma",1.0543122764392,"N",NA
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion Simple","sigma",0.716935374789985,"O",NA
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion CC","ar1",0.383604720296626,"A",0.0508535916341316
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion CC","ar1",0.367786367652008,"B",0.0553548768005695
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion CC","ar1",0.390031885195414,"C",0.0568171799256764
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion CC","ar1",0.365590250074595,"D",0.0599742206883876
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion CC","ar1",0.224186289470925,"E",0.0697753608754771
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion CC","ar1",0.375266908202315,"F",0.0718661814878648
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion CC","ar1",0.284851250124307,"G",0.0785176729085482
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion CC","ar1",0.142707607849367,"H",0.0841026295135865
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion CC","ar1",0.389245045418013,"I",0.0844739549984545
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion CC","ar1",0.33725044960922,"J",0.10129176299778
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion CC","ar1",0.156500916842467,"K",0.115700172906669
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion CC","ar1",0.137037229040231,"L",0.133714392330879
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion CC","ar1",0.263543429831683,"M",0.142435575710859
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion CC","ar1",0.0352557062651079,"N",0.243901764783726
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion CC","ar1",-0.183263338108621,"O",0.232383570281268
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion CC","intercept",-0.233676150989897,"A",0.0889477228569691
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion CC","intercept",-0.27719241260187,"B",0.0927255454297866
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion CC","intercept",-0.191306354581268,"C",0.0984739248066942
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion CC","intercept",-0.318657825342849,"D",0.102882438804985
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion CC","intercept",-0.219088580699833,"E",0.0919284099722761
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion CC","intercept",-0.385851765941979,"F",0.12562538574696
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion CC","intercept",-0.100925819055511,"G",0.122847720246117
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion CC","intercept",-0.201980090892884,"H",0.101937485933761
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion CC","intercept",-0.352278618390429,"I",0.154741583270069
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion CC","intercept",-0.195158574628115,"J",0.149866031659588
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion CC","intercept",-0.389900560317669,"K",0.153481613334973
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion CC","intercept",-0.296943272964393,"L",0.149589348894915
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion CC","intercept",-0.384048086376889,"M",0.23215729098258
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion CC","intercept",-0.300155770743092,"N",0.196880463152621
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion CC","intercept",-0.0575301590256224,"O",0.149847679521349
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion CC","light",-0.394138546689945,"A",0.0519203149174027
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion CC","light",-0.422739129423571,"B",0.0532414252851327
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion CC","light",-0.404585558361075,"C",0.0606409203525041
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion CC","light",-0.384954558681603,"D",0.0611923022549424
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion CC","light",-0.296756258333861,"E",0.0669941668552601
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion CC","light",-0.397943844255672,"F",0.0707058714042317
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion CC","light",-0.422541552812139,"G",0.0867244731300803
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion CC","light",-0.344227487138861,"H",0.0894209224950921
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion CC","light",-0.386926508492815,"I",0.0872335952778361
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion CC","light",-0.348983748676428,"J",0.115000707796971
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion CC","light",-0.344495475751805,"K",0.137462785043609
195,"195","propMissAct_0.6_autoCorr_0.01","MAR","Data Deletion CC","light",-0.442049544911541,"L",0.118695420910299
195,"195","propMissAct_0.66_autoCorr_0.05","MAR","Data Deletion CC","light",-0.644041570216129,"M",0.209884261790524
195,"195","propMissAct_0.72_autoCorr_0.02","MAR","Data Deletion CC","light",-0.428992352164207,"N",0.203771805211653
195,"195","propMissAct_0.75_autoCorr_0.07","MAR","Data Deletion CC","light",-0.366520782417467,"O",0.207517916761899
195,"195","propMissAct_0.05_autoCorr_0.01","MAR","Data Deletion CC","discharge",-0.0195787710566167,"A",0.0498652870397947
195,"195","propMissAct_0.12_autoCorr_0.04","MAR","Data Deletion CC","discharge",-0.0184763268255363,"B",0.0539483345700193
195,"195","propMissAct_0.15_autoCorr_0.01","MAR","Data Deletion CC","discharge",-0.00560239916598576,"C",0.055139549072707
195,"195","propMissAct_0.19_autoCorr_0.06","MAR","Data Deletion CC","discharge",-0.0200285235946447,"D",0.0641234489929719
195,"195","propMissAct_0.27_autoCorr_0.08","MAR","Data Deletion CC","discharge",0.0526729812654521,"E",0.0733746847225591
195,"195","propMissAct_0.32_autoCorr_0.05","MAR","Data Deletion CC","discharge",-0.0100545256482654,"F",0.0709391445832745
195,"195","propMissAct_0.34_autoCorr_0.01","MAR","Data Deletion CC","discharge",-0.0338044688539782,"G",0.0823929848854272
195,"195","propMissAct_0.38_autoCorr_0.05","MAR","Data Deletion CC","discharge",0.0646568160169672,"H",0.0859743498666599
195,"195","propMissAct_0.44_autoCorr_0.1","MAR","Data Deletion CC","discharge",-0.00588917163278241,"I",0.0996888727211934
195,"195","propMissAct_0.51_autoCorr_0.04","MAR","Data Deletion CC","discharge",0.143979114873328,"J",0.100030390674332
195,"195","propMissAct_0.54_autoCorr_0","MAR","Data Deletion CC","discharge",-0.0210635463005295,"K",0.118146564167782
