YEAR,MN,LEAD,CD,ForecastedMEAN,ClimatologicalMEAN,ForecastedSD,ClimatologicalSD,PO,Modifier,ForecastedSD_in,Prediction_in,Anom_CF,Anom_in,Anom_cm
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-0.127206756712065,0.00688577344581892,3.45670773623805,1.03805037124266,0.126707736238048,0.321837650044643
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-0.127206756712065,0.00506391118905434,3.03766431681316,0.92050433842823,-0.26233568318684,-0.666332635294574
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-0.127206756712065,0.0028277252628496,3.5468780808173,1.03709885404014,0.126878080817296,0.322270325275931
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-0.127206756712065,0.00522103647885012,3.59117628267773,0.975863120292861,-0.0888237173222706,-0.225612241998567
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-0.127206756712065,0.165853817864204,3.10382482604634,0.949181903989706,-0.166175173953662,-0.422084941842302
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-0.127206756712065,0.117512491374991,2.38845926790621,0.959220589520568,-0.101540732093786,-0.257913459518216
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-0.127206756712065,0.00388828961794826,1.32004830209552,0.923110700766099,-0.109951697904479,-0.279277312677376
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-0.127206756712065,0.150777995168525,2.62624599835881,0.951538405202468,-0.133754001641188,-0.339735164168617
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-0.127206756712065,0.0856841553301825,4.54974657390737,0.963929358878681,-0.170253426092627,-0.432443702275272
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-1.27439444786291,0.0856841553301825,3.15809567994631,0.669088067785234,-1.56190432005369,-3.96723697293639
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-1.27439444786291,0.300223477732874,4.0238773369311,0.683171024945858,-1.8661226630689,-4.739951564195
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-1.27439444786291,0.36626063819515,3.69596812316983,0.710763100609582,-1.50403187683018,-3.82024096714865
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-1.27439444786291,0.0492129128664663,1.96125508240657,0.53586204437338,-1.69874491759343,-4.31481209068732
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-1.27439444786291,0.00688577344581892,1.55024402851049,0.465538747300448,-1.77975597148951,-4.52058016758335
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-1.27439444786291,0.00506391118905434,1.30502176928745,0.395461142208319,-1.99497823071255,-5.06724470600987
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-1.27439444786291,0.0028277252628496,1.50606023665502,0.440368490250007,-1.91393976334498,-4.86140699889624
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-1.27439444786291,0.00522103647885012,1.73614020991766,0.471777230955886,-1.94385979008234,-4.93740386680914
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-1.27439444786291,0.165853817864204,1.73111959351994,0.529394371107017,-1.53888040648006,-3.90875623245934
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-1.27439444786291,0.117512491374991,1.2389512163005,0.497570769598593,-1.2510487836995,-3.17766391059674
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-1.27439444786291,0.00388828961794826,0.58127160748716,0.406483641599413,-0.84872839251284,-2.15577011698261
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-1.27439444786291,0.150777995168525,1.55995821954912,0.565202253459828,-1.20004178045088,-3.04810612234522
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-1.27439444786291,0.0856841553301825,3.15809567994631,0.669088067785234,-1.56190432005369,-3.96723697293639
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,1.46625520242748,0.0856841553301825,6.91336351680521,1.46469566034009,2.19336351680521,5.57114333268524
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,1.46625520242748,0.300223477732874,8.36497195615965,1.42019897388109,2.47497195615965,6.28642876864551
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,1.46625520242748,0.36626063819515,7.16874032129791,1.37860390794191,1.96874032129791,5.0006004160967
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,1.46625520242748,0.0492129128664663,6.6281492358315,1.81096973656598,2.9681492358315,7.539099059012
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,1.46625520242748,0.00688577344581892,8.33226507251299,2.50218170345736,5.00226507251299,12.705753284183
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,1.46625520242748,0.00506391118905434,7.65195097917611,2.31877302399276,4.35195097917611,11.0539554871073
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,1.46625520242748,0.0028277252628496,9.16197600904369,2.67894035352155,5.74197600904369,14.584619062971
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,1.46625520242748,0.00522103647885012,8.10000747259518,2.20108898711825,4.42000747259518,11.2268189803917
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,1.46625520242748,0.165853817864204,5.65333454765323,1.72884848552087,2.38333454765323,6.0536697510392
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,1.46625520242748,0.117512491374991,4.63987873289615,1.86340511361291,2.14987873289615,5.46069198155622
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,1.46625520242748,0.00388828961794826,3.21078968651147,2.24530747308494,1.78078968651147,4.52320580373913
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,1.46625520242748,0.150777995168525,4.51913315088114,1.63736708365259,1.75913315088114,4.46819820323808
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,1.46625520242748,0.0856841553301825,6.91336351680521,1.46469566034009,2.19336351680521,5.57114333268524
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,0.138478354767795,0.0856841553301825,4.90896699061852,1.04003537936833,0.188966990618516,0.47997615617103
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,0.138478354767795,0.300223477732874,6.10915290801915,1.03720762445147,0.219152908019153,0.556648386368647
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,0.138478354767795,0.36626063819515,5.39547409193796,1.03759117152653,0.195474091937958,0.496504193522412
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,0.138478354767795,0.0492129128664663,3.95250593357598,1.07991965398251,0.292505933575983,0.742965071282997
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,0.138478354767795,0.00688577344581892,4.06699419348484,1.22131957762307,0.736994193484835,1.87196525145148
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,0.138478354767795,0.00506391118905434,3.60397838664873,1.09211466262083,0.303978386648733,0.772105102087783
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,0.138478354767795,0.0028277252628496,4.22396036680424,1.23507613064451,0.803960366804235,2.04205933168276
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,0.138478354767795,0.00522103647885012,4.16879462049601,1.13282462513479,0.48879462049601,1.24153833605987
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,0.138478354767795,0.165853817864204,3.47720036748245,1.06336402675304,0.207200367482452,0.526288933405429
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,0.138478354767795,0.117512491374991,2.71048602945943,1.08854860620861,0.220486029459432,0.560034514826958
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,0.138478354767795,0.00388828961794826,1.55692075124349,1.08875577010034,0.12692075124349,0.322378708158465
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,0.138478354767795,0.150777995168525,2.90907291903507,1.05401192718662,0.149072919035071,0.378645214349082
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,0.138478354767795,0.0856841553301825,4.90896699061852,1.04003537936833,0.188966990618516,0.47997615617103
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,0.464080990900585,0.0856841553301825,5.36819864576222,1.13733022155979,0.64819864576222,1.64642456023604
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,0.464080990900585,0.300223477732874,6.63665432579679,1.12676643901473,0.746654325796786,1.89650198752384
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,0.464080990900585,0.36626063819515,5.81529807083007,1.11832655208271,0.615298070830074,1.56285709990839
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,0.464080990900585,0.0492129128664663,4.53289510115935,1.23849592927851,0.872895101159348,2.21715355694474
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,0.464080990900585,0.00688577344581892,4.91634283454098,1.47637922959189,1.58634283454098,4.02931079973409
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,0.464080990900585,0.00506391118905434,4.39874948251969,1.33295438864233,1.09874948251969,2.79082368560001
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,0.464080990900585,0.0028277252628496,5.18084471153472,1.51486687471776,1.76084471153472,4.4725455672982
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,0.464080990900585,0.00522103647885012,4.96445555568608,1.34903683578426,1.28445555568608,3.26251711144265
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,0.464080990900585,0.165853817864204,3.96307695637199,1.2119501395633,0.693076956371993,1.76041546918486
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,0.464080990900585,0.117512491374991,3.13409184787145,1.25867142484797,0.644091847871446,1.63599329359347
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,0.464080990900585,0.00388828961794826,1.88656789840528,1.31927825063306,0.456567898405277,1.1596824619494
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,0.464080990900585,0.150777995168525,3.27374222268409,1.18613848647974,0.51374222268409,1.30490524561759
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,0.464080990900585,0.0856841553301825,5.36819864576222,1.13733022155979,0.64819864576222,1.64642456023604
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,0.897305223774695,0.0856841553301825,6.0117232952903,1.27367018968015,1.2917232952903,3.28097717003736
