YEAR,MN,LEAD,CD,ForecastedMEAN,ClimatologicalMEAN,ForecastedSD,ClimatologicalSD,ClimatologicalMEAN_Temp_C,ForecastedMEAN_Temp_C,ForecastedSD_Temp_C,Anom_F,Anom_C
2020,6,1,97,69.64,68.8,1.015,1.14,20.4444444444444,20.9111111111111,0.563888888888889,0.840000000000003,0.466666666666669
2020,6,2,97,63,62.12,1.075,1.19,16.7333333333333,17.2222222222222,0.597222222222222,0.880000000000003,0.48888888888889
2020,6,3,97,53.54,52.51,1.278,1.4,11.3944444444444,11.9666666666667,0.71,1.03,0.572222222222223
2020,6,4,97,43.46,42.38,1.3586,1.44,5.76666666666667,6.36666666666667,0.754777777777778,1.08,0.599999999999999
2020,6,5,97,36.87,35.83,1.484,1.64,2.12777777777778,2.70555555555555,0.824444444444444,1.04,0.577777777777777
2020,6,6,97,34.99,34.4,1.8775,1.92,1.33333333333333,1.66111111111111,1.04305555555556,0.590000000000003,0.32777777777778
2020,6,7,97,38.35,37.68,1.6144,1.76,3.15555555555556,3.52777777777778,0.896888888888889,0.670000000000002,0.372222222222223
2020,6,8,97,44.15,43.17,1.512,1.56,6.20555555555556,6.75,0.84,0.979999999999997,0.544444444444443
2020,6,9,97,50.73,50.22,1.8437,1.91,10.1222222222222,10.4055555555556,1.02427777777778,0.509999999999998,0.283333333333332
2020,6,10,97,58.88,58.37,2.0642,2.07,14.65,14.9333333333333,1.14677777777778,0.510000000000005,0.283333333333336
2020,6,11,97,66.95,65.99,1.5228,1.68,18.8833333333333,19.4166666666667,0.846,0.960000000000008,0.533333333333338
2020,6,12,97,70.79,69.98,1.2208,1.35,21.1,21.55,0.678222222222222,0.810000000000002,0.450000000000001
