Date,avg_C.med,avg_C.10,avg_C.90,ppt.med,ppt.10,ppt.90,VWC.Deep.med,VWC.Deep.10,VWC.Deep.90,VWC.Intermediate.med,VWC.Intermediate.10,VWC.Intermediate.90,VWC.Shallow.med,VWC.Shallow.10,VWC.Shallow.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWC.Shallow_rollmean.med,VWC.Shallow_rollmean.10,VWC.Shallow_rollmean.90,VWC.Intermediate_rollmean.med,VWC.Intermediate_rollmean.10,VWC.Intermediate_rollmean.90,VWC.Deep_rollmean.med,VWC.Deep_rollmean.10,VWC.Deep_rollmean.90,SWP.Shallow.med,SWP.Shallow.10,SWP.Shallow.90,SWP.Shallow_rollmean.med,SWP.Shallow_rollmean.10,SWP.Shallow_rollmean.90,SWP.Intermediate.med,SWP.Intermediate.10,SWP.Intermediate.90,SWP.Intermediate_rollmean.med,SWP.Intermediate_rollmean.10,SWP.Intermediate_rollmean.90,SWP.Deep.med,SWP.Deep.10,SWP.Deep.90,SWP.Deep_rollmean.med,SWP.Deep_rollmean.10,SWP.Deep_rollmean.90
01-11,0.769425,-5.29855,4.534305,0,0,0.2569,0.113958886237323,0.105041873402571,0.135592965149023,0.118512608461249,0.103694078526676,0.143954214454336,0.129502768776756,0.111050789331422,0.199170639515835,2.1688,0.72226,4.50138,-0.0605499999999998,-4.41804933333333,2.5927825,0.138037799243857,0.117097118755142,0.203067430060293,0.119602158416892,0.10383048255292,0.146094200824277,0.114016463089162,0.105049697114429,0.135372151920498,-1.07594468337833,-2.43185665458696,-0.109657922280594,-0.766903628656445,-1.83566186038942,-0.098946099310074,-1.72230217071976,-3.49828819255857,-0.613832624806592,-1.64068360164998,-3.47397649736113,-0.567613061792481,-2.12022105969688,-3.26664906300577,-0.843164282337626,-2.11454724932123,-3.26535862754187,-0.8504860887649
01-12,0.205025,-6.63206,4.231475,0,0,0.20492,0.11409571951365,0.105041164291681,0.135641828385471,0.118622653418916,0.103797361365232,0.143840126423097,0.128867647250429,0.112289236139113,0.199413986009392,2.1481,0.70561,4.17882,0.108475833333333,-4.31268583333333,2.45333833333333,0.139274161844447,0.117156922926312,0.204296183049681,0.119787852400252,0.103827459682132,0.146373989673151,0.114186832989733,0.105051625977735,0.135423997355319,-1.10437594006047,-2.29290762040081,-0.108949888223582,-0.731470873387324,-1.83069634412533,-0.0958296019065071,-1.7138429559815,-3.47986127626432,-0.616419865655887,-1.62723595807347,-3.47451309262635,-0.561880912750296,-2.106766551524,-3.26676605302367,-0.841554195018846,-2.09786383627313,-3.26504057579704,-0.848760212666187
01-13,-0.016825,-6.9523,4.160925,0,0,0.27475,0.11421911386315,0.10504046367771,0.135684041596082,0.118723750163784,0.103787705863155,0.143730642690883,0.129280334078479,0.111197116656432,0.199747834322479,2.0718,0.76066,3.81139,0.19966,-4.07422283333333,2.21957266666667,0.138859717685384,0.117221153370305,0.205642693175398,0.120265000461289,0.103824991183587,0.146661868378745,0.114464494092909,0.105053714391647,0.135471927842427,-1.08580189053906,-2.41492789430353,-0.107987352309683,-0.743127220228075,-1.8253810853078,-0.0925474289555459,-1.70611508309668,-3.48157903923416,-0.618914887388566,-1.59327801749005,-3.47495135333765,-0.556054689029359,-2.09472039771306,-3.26688164609964,-0.84016617331292,-2.07100795234174,-3.26469625714263,-0.847168362477557
01-14,-0.117,-6.07929,5.037125,0,0,0.24959,0.114335221836283,0.105039776888055,0.135720344858645,0.118822178239096,0.103778329391539,0.143626073655036,0.129225834095208,0.110846614324308,0.200254839703071,2.0675,0.68799,3.27557,0.277833333333333,-3.797488,2.24562916666667,0.137645982228821,0.117288882590594,0.205998330480621,0.121047385186141,0.103823217376108,0.146958446110246,0.114755530156153,0.105056013588619,0.135524668265203,-1.08823340727661,-2.45571418494803,-0.106544834416963,-0.778555807350267,-1.81979614735958,-0.0917029680494397,-1.69863096142059,-3.48324812586045,-0.621309122271557,-1.53940134300328,-3.47526631818621,-0.550127341136662,-2.08346024795492,-3.26699496304409,-0.838974653595706,-2.04329583797255,-3.26431723640517,-0.845420864898275
01-15,-0.420225,-5.386915,3.22332,0,0,0.19026,0.114448943299208,0.105039073053292,0.135751184031588,0.11892034479404,0.103769016410359,0.143525994372552,0.13063948647786,0.110828034537507,0.214351353952039,2.10215,0.68799,3.21447,0.224699166666666,-3.71730166666667,2.3938825,0.13700819930131,0.117370824582105,0.206463442590147,0.122325264141249,0.103822237236733,0.147282767325602,0.115085075360935,0.10505856520497,0.135578502246853,-1.02720065916792,-2.45789898159447,-0.0742686736839226,-0.797976003549961,-1.81306635197401,-0.0906123379858573,-1.69120555626879,-3.48490685213121,-0.623610874586392,-1.45598561262398,-3.4754403704827,-0.543731264507613,-2.07250121067431,-3.2671110971952,-0.837964049720093,-2.01244720088696,-3.26389666576328,-0.843641549910901
01-16,-0.65245,-7.18718,2.65869,0,0,0.24154,0.114562162838093,0.105038410631748,0.135777653637337,0.119018074342376,0.103759942472176,0.143429935584083,0.130549783521681,0.111525240398949,0.222004134988878,2.00105,0.68472,3.1121,0.159810833333333,-3.77740716666667,2.40962666666667,0.138033320636701,0.117485917615362,0.207028179929597,0.124212225480053,0.103822672803973,0.147621969743772,0.115451661024205,0.105061611648609,0.135625758206809,-1.03095050677226,-2.37747340502601,-0.0616573537985525,-0.767035641305425,-1.80366378245835,-0.0893087512917593,-1.68385149635403,-3.48652390570231,-0.625829696533001,-1.34242021825563,-3.47536302155268,-0.537136037331564,-2.06165853371101,-3.26722040256395,-0.837097790822862,-1.97877921367939,-3.26339461946257,-0.842083318176973
01-17,-0.519025,-6.806715,3.276175,0,0,0.10717,0.114675488233257,0.105037743007721,0.135800605995017,0.119676455575811,0.103750970343919,0.146798748463741,0.130205177200866,0.112129944769534,0.227009908001093,1.92265,0.68472,3.10005,0.00781666666666656,-3.6795965,2.46262983333333,0.139184169492328,0.117629963060435,0.207682680933116,0.12490059220184,0.103825984358024,0.147641900467166,0.115852490518489,0.105065725157651,0.135667023758341,-1.04550819732796,-2.31024049645925,-0.0547788099078738,-0.733983353440186,-1.79197746089299,-0.0878257427582138,-1.63528733536698,-3.48812369277327,-0.553309645895383,-1.303633957675,-3.47477501584938,-0.536751483697394,-2.05087316544101,-3.26733057078561,-0.836347500782703,-1.94272940159924,-3.26271686907354,-0.840725412922161
01-18,-0.5043,-4.89947,5.05916,0,0,0.13495,0.114869678265747,0.10503760349294,0.135925761107521,0.120624876980278,0.103743496027192,0.146637928473345,0.133207839171481,0.112636756212774,0.228180761772959,1.87285,0.68486,3.12333,0.00917249999999955,-3.53856883333333,2.5833835,0.139111958427697,0.11845838407679,0.208412364604546,0.125238585190953,0.103853020822437,0.147605882922544,0.116219159554934,0.105092806093336,0.135702864301929,-0.926402722817756,-2.25562660557527,-0.0533040359155254,-0.736006820503417,-1.72648867445141,-0.0862067469618938,-1.56822241648228,-3.48945707675559,-0.556536450014901,-1.28507780717558,-3.4699787916139,-0.53744666356404,-2.03254725942665,-3.26735359342568,-0.832270336144341,-1.91043367082971,-3.25825913080269,-0.839548137050812
01-19,-0.80855,-3.82613,4.790915,0,0,0.15633,0.115444909714705,0.105041459861032,0.136136177302062,0.120718470401475,0.103746610149661,0.146517824468268,0.132754657571719,0.113068761323313,0.228791904573603,1.8686,0.68486,3.16264,0.0342166666666662,-3.4187565,2.79076333333333,0.139028197829005,0.119119574850464,0.209177885735844,0.125468041945122,0.103986997871055,0.147581558384206,0.116485594913675,0.105336640598942,0.13599025314357,-0.94330320721387,-2.21028180314865,-0.0525530174116445,-0.738362234858982,-1.67625387360788,-0.0845462149124074,-1.56178309821789,-3.48890145791828,-0.558960895026132,-1.27265919641559,-3.4463272642205,-0.537916760426143,-1.97939318859246,-3.26671728901044,-0.825468743976025,-1.88736625619083,-3.21844631368649,-0.830178610183436
01-20,-0.42315,-5.39356,4.1898,0,0,0.22658,0.116027853149091,0.10504771202175,0.136324348897827,0.120814529631481,0.103756100456193,0.146403080876852,0.132384561348987,0.113429236155974,0.229722950314696,1.9752,0.697,3.16264,0.162978333333333,-3.30035983333333,2.80953783333333,0.138950421821292,0.119673908718227,0.20999693720192,0.125482801314362,0.104152921075984,0.147567982602774,0.116767406934621,0.10573359955896,0.136302600108984,-0.95737753256662,-2.17327237315898,-0.0514329056798851,-0.740557383349704,-1.63547196633249,-0.0828114841294891,-1.55520678054013,-3.48720885461025,-0.561288866834651,-1.27186528664465,-3.41730118317656,-0.538179338925624,-1.92720339805744,-3.26568598943941,-0.819442088686314,-1.86332686540724,-3.15486127003612,-0.820135967702149
01-21,-0.20295,-5.330295,3.43669,0,0,0.13384,0.116435340120128,0.105055277573638,0.136489721847969,0.123041749897969,0.103769095586157,0.146293231193028,0.134147481691832,0.113719873264133,0.232100224371881,1.89265,0.65253,3.13575,0.244851666666667,-3.0849455,3.03169133333333,0.13887732680712,0.120120169018202,0.210861867702073,0.125491365598741,0.104685164220285,0.147564205141342,0.117063674249466,0.106150622402749,0.136603628670943,-0.892493441005671,-2.14396848425475,-0.0486991607293369,-0.742627489132487,-1.60349566793583,-0.0810253049827028,-1.41156803998103,-3.48489274624856,-0.563528352834947,-1.27140488174237,-3.32613340117982,-0.538252428486966,-1.89169177031133,-3.26443856218044,-0.814188747893222,-1.83844572287157,-3.08966379031487,-0.810593585550687
01-22,-1.146425,-5.119545,2.872725,0.03095,0,0.28677,0.116572422972467,0.105063399271577,0.136633129143966,0.123007158581273,0.103783633390191,0.146188750761385,0.134024327329807,0.114034697439412,0.231938482780509,1.85825,0.57314,3.20926,0.27379,-2.88919783333333,3.12915466666667,0.138810003636582,0.120122373739261,0.21201330079423,0.125489411265318,0.104828488893748,0.147569384124298,0.117373542457831,0.106217173637797,0.1368939479667,-0.896852729435843,-2.11275414077081,-0.0488795902807844,-0.744540218822356,-1.60333954533903,-0.0787179976859102,-1.41367514798958,-3.48230385506192,-0.565668237103103,-1.27150992674569,-3.30207932846276,-0.538152224086155,-1.87992048710678,-3.26310006639247,-0.809665560540971,-1.81284364345881,-3.07940792566125,-0.801515426536503
