Date,avg_C.mean.med,avg_C.mean.10,avg_C.mean.90,ppt.mean.med,ppt.mean.10,ppt.mean.90,VWC.Deep.mean.med,VWC.Deep.mean.10,VWC.Deep.mean.90,VWC.Intermediate.mean.med,VWC.Intermediate.mean.10,VWC.Intermediate.mean.90,VWC.Shallow.mean.med,VWC.Shallow.mean.10,VWC.Shallow.mean.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWC.Shallow_rollmean.med,VWC.Shallow_rollmean.10,VWC.Shallow_rollmean.90,VWC.Intermediate_rollmean.med,VWC.Intermediate_rollmean.10,VWC.Intermediate_rollmean.90,VWC.Deep_rollmean.med,VWC.Deep_rollmean.10,VWC.Deep_rollmean.90,SWP.Shallow.mean.med,SWP.Shallow.mean.10,SWP.Shallow.mean.90,SWP.Shallow_rollmean.med,SWP.Shallow_rollmean.10,SWP.Shallow_rollmean.90,SWP.Intermediate.mean.med,SWP.Intermediate.mean.10,SWP.Intermediate.mean.90,SWP.Intermediate_rollmean.med,SWP.Intermediate_rollmean.10,SWP.Intermediate_rollmean.90,SWP.Deep.mean.med,SWP.Deep.mean.10,SWP.Deep.mean.90,SWP.Deep_rollmean.med,SWP.Deep_rollmean.10,SWP.Deep_rollmean.90,Time
2020-02-13,3.85,3.85,3.85,0.05,0.05,0.05,0.13244568110314,0.132445299357133,0.132445844708572,0.164879216772515,0.164878145106629,0.164879676057895,0.205176706803242,0.205176219878975,0.20517691548507,2.12,2.12,2.12,3.57333333333333,3.57333333333333,3.57333333333334,0.211865489039859,0.211864889243016,0.21186574609565,0.162266367256896,0.162265369833994,0.162266794723854,0.133114748284759,0.133114339532369,0.133114923464355,-0.0936679451523587,-0.0936691244216631,-0.0936674397566298,-0.0790097809533475,-0.0790109675799435,-0.0790092724055758,-0.298789368968387,-0.298799671712622,-0.298784953635819,-0.32521312156908,-0.32522372661825,-0.325208576673823,-0.955036103361219,-0.955050706487012,-0.955029844959973,-0.929844794890002,-0.929859942153721,-0.929838303295324,Observed
2020-02-14,3.7,3.7,3.7,0,0,0,0.133097755812361,0.133097380380847,0.133097916711582,0.164300536546295,0.164299463215399,0.16430099654525,0.20059334758763,0.20059282587045,0.200593571180707,2.15,2.15,2.15,3.71166666666667,3.71166666666666,3.71166666666667,0.209362775774641,0.209362153187208,0.209363042597827,0.162036673193289,0.162035671002647,0.162037102703564,0.133926544266329,0.13392614176751,0.133926716765823,-0.105594464719146,-0.105595921682788,-0.10559384031347,-0.0841508773541128,-0.0841522048983156,-0.0841503084142168,-0.304414633980387,-0.30442518403014,-0.304410112663514,-0.327666220680488,-0.327676972019421,-0.327661613092145,-0.930474737580172,-0.930488661253618,-0.930468770367356,-0.900331982719387,-0.900346337287433,-0.900325830844918,Observed
2020-02-15,3.4,3.4,3.4,0.46,0.46,0.46,0.133731892565483,0.133731522869328,0.133732051006692,0.163796440900754,0.163795366472805,0.163796901369875,0.207419590050748,0.207418986537674,0.207419848699208,2.15,2.15,2.15,3.77833333333333,3.77833333333333,3.77833333333334,0.206937296473098,0.206936655356192,0.206937571237487,0.161802857037864,0.161801851253258,0.161803288088409,0.134711565556456,0.134711168146523,0.134711735874999,-0.0884183255109901,-0.0884196903095902,-0.0884177406049688,-0.0895170257588465,-0.0895184970334304,-0.0895163952213938,-0.309417704144149,-0.309428471581781,-0.309413089664341,-0.330185964076453,-0.330196852657928,-0.330181297672172,-0.907305822916531,-0.907319129078751,-0.907300120346576,-0.872845581890143,-0.872859242204079,-0.872839727547664,Observed
2020-02-16,3.25,3.25,3.25,0.37,0.37,0.37,0.134976207943895,0.134975848498849,0.134976361991772,0.163058104593945,0.163057028412969,0.163058565814363,0.233052985383425,0.233052308053857,0.233053275667525,2.07,2.07,2.07,3.76833333333333,3.76833333333333,3.76833333333334,0.20458264541984,0.204581989821612,0.204582926390509,0.161565203542637,0.161564195268513,0.161565635660118,0.135469352247678,0.135468958817641,0.13546952086055,-0.047652237396599,-0.0476529721101132,-0.0476519225234999,-0.0951199016691305,-0.0951215187440789,-0.0951192086470114,-0.316923137377443,-0.316934234012209,-0.316918381818183,-0.332770695886834,-0.33278171305039,-0.332765974378011,-0.863805086680365,-0.86381729005857,-0.863799856723859,-0.847253811946304,-0.847266865517891,-0.847248217631652,Observed
2020-02-17,0.5,0.5,0.5,0,0,0,0.136136727342795,0.136136375906035,0.13613687795855,0.16236463990134,0.16236356480329,0.162365100657647,0.226669633634967,0.226668897840334,0.226669948975524,1.99,1.99,1.99,3.85,3.85,3.85,0.202278199876806,0.202277533668241,0.202278485394763,0.161322151101118,0.161321141392427,0.161322583833414,0.136198958051817,0.136198567543487,0.13619912541253,-0.0552164703214513,-0.0552174211927679,-0.0552160628111303,-0.101011414847543,-0.101013179753153,-0.101010658470643,-0.324170254776638,-0.324181642167736,-0.324165374611699,-0.33543905897439,-0.335450197037605,-0.335434285653277,-0.825451050963249,-0.825462355483295,-0.825446206225269,-0.82345219935655,-0.823464724543736,-0.823446831488497,Observed
2020-02-18,-0.2,-0.2,-0.2,0,0,0,0.137218063257247,0.137217717709943,0.137218211348949,0.161707750183987,0.161706678939275,0.161708209288863,0.220450164293323,0.220449374422586,0.220450502809353,1.99,1.99,1.99,3.825,3.825,3.825,0.200036179251686,0.200035506016065,0.200036467781238,0.16107358744274,0.161072577288268,0.161074020366085,0.136899875994266,0.136899487405221,0.136900042532428,-0.0639983105930254,-0.0639995270714226,-0.0639977892535534,-0.107164134815366,-0.107166048181108,-0.107163314813905,-0.331217477275702,-0.33122911761285,-0.331212488708613,-0.338194270578694,-0.338205522422107,-0.338189448496284,-0.791522848265275,-0.791533422489504,-0.791518316506287,-0.80133132222722,-0.801343388937662,-0.801326150845995,Observed
2020-02-19,-0.55,-0.55,-0.55,0,0,0,0.138224495712921,0.138224154045896,0.138224642141645,0.161083670221396,0.161082605377475,0.161084126583076,0.21438891609726,0.214388076815687,0.214389275789363,1.64,1.64,1.64,4.05333333333333,4.05333333333333,4.05333333333334,0.197102677357435,0.197102001003505,0.197102967223406,0.160811629052253,0.160810619490624,0.160812061721522,0.137570375098651,0.137569987468256,0.137570541225963,-0.0741996695148725,-0.0742012104986914,-0.0741990091048792,-0.115900814084237,-0.115902923965754,-0.115899909863276,-0.338081985554277,-0.338093841901482,-0.338076904413891,-0.34112711723444,-0.341138478471238,-0.341122248270618,-0.761424459887819,-0.761434444556263,-0.761420180791835,-0.7808284269205,-0.780840098718544,-0.780823424784815,Observed
2020-02-20,0.75,0.75,0.75,0,0,0,0.139158090650075,0.139157750930923,0.139158236243998,0.160482121354293,0.16048106530701,0.160482573945985,0.20839495453541,0.208394071293549,0.208395333067636,1.15,1.15,1.15,4.46166666666667,4.46166666666666,4.46166666666667,0.193716796773403,0.193716100949298,0.193717094983733,0.16020146419367,0.160200460652202,0.160201894282871,0.138208587010835,0.138208199395207,0.138208753131819,-0.0862449605694695,-0.0862468997460742,-0.0862441295096448,-0.127059724232459,-0.127062145431007,-0.127058686592724,-0.34485927542594,-0.344871314498053,-0.344854115976512,-0.348076450743614,-0.348088018188762,-0.348071493406977,-0.734713359784841,-0.734722874991783,-0.734709281883843,-0.761889531186435,-0.761900866864062,-0.761884673100241,Observed
2020-02-21,0.8,0.8,0.8,0,0,0,0.140022845401945,0.140022505814365,0.140022990939479,0.159904459983218,0.159903414659094,0.159904907979271,0.202551827270297,0.202550906216378,0.202552222007692,1.1,1.1,1.1,4.48833333333333,4.48833333333333,4.48833333333334,0.190444507288899,0.190443795365945,0.190444812398737,0.159577911882628,0.159576915211474,0.159578339027408,0.138814669246575,0.138814280765951,0.138814835738272,-0.100289615563538,-0.100292034901112,-0.100288578725812,-0.139078080817362,-0.139080838941061,-0.139076898784248,-0.351519937832185,-0.351532128702103,-0.351514713327464,-0.35535279623348,-0.355364570470869,-0.355347750273676,-0.710959998910073,-0.710969146080583,-0.710956078736958,-0.744407474730354,-0.744418526553984,-0.744402738294209,Observed
2020-02-22,1.8,1.8,1.8,0,0,0,0.140819870590704,0.140819529398976,0.14082001681573,0.159341094212041,0.159340061239505,0.159341536914557,0.196809345060701,0.196808393570753,0.196809752842107,1.16,1.16,1.16,4.41,4.41,4.41,0.18730605626053,0.187305331208768,0.187306366996999,0.158943526144562,0.158942537153838,0.158943949997729,0.139388601955613,0.139388211793383,0.139388769167997,-0.116820160916175,-0.116823157098902,-0.116818876865822,-0.151894804659054,-0.151897923913482,-0.151893467859033,-0.358163537331464,-0.358175855229769,-0.358158258386315,-0.362941841961762,-0.362953822610105,-0.362936707542068,-0.689871363379568,-0.689880230679028,-0.689867563149838,-0.728290589048962,-0.72830140368433,-0.728285954263659,Observed
