Date,avg_C.med,avg_C.10,avg_C.90,ppt.med,ppt.10,ppt.90,Deep.med,Deep.10,Deep.90,Intermediate.med,Intermediate.10,Intermediate.90,Shallow.med,Shallow.10,Shallow.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWCShallow_rollmean.med,VWCShallow_rollmean.10,VWCShallow_rollmean.90,VWCInter_rollmean.med,VWCInter_rollmean.10,VWCInter_rollmean.90,VWCDeep_rollmean.med,VWCDeep_rollmean.10,VWCDeep_rollmean.90
09-13,15.76745,11.540925,17.91643,0,0,0.266160000000001,0.115963530679939,0.102801727401056,0.144839464869122,0.118496325761954,0.101402023774304,0.178840258780842,0.125014861789949,0.0922708456317929,0.206281686769651,5.2553,1.25257,11.68039,15.6192258333333,13.9742095,16.419121,0.137458664784392,0.103711703160158,0.181144853151905,0.121490223148703,0.102125640590763,0.168641725223761,0.116592458492717,0.102650330162297,0.139368496088822
09-14,15.6447,11.101715,17.892725,0,0,0.35377,0.117253569021556,0.1026931879482,0.147075587534347,0.118494536492557,0.101330436176845,0.189758476667483,0.121513427855839,0.0917086307853473,0.197257910541369,5.56575,0.99714,10.62479,15.39619,13.7047336666667,16.4240353333333,0.13702022130552,0.103408185532841,0.182348653822934,0.12272559391546,0.102104288744194,0.172557026929291,0.11776146952583,0.10264388020247,0.141003905742891
09-15,15.3781,11.99227,17.713155,0,0,0.35014,0.117392915148796,0.102598079925723,0.149021658993429,0.120975040757758,0.101266878542356,0.187318174850637,0.124505618404267,0.0911698626249335,0.221584641402581,5.5604,0.96246,10.51772,15.2748558333333,13.5282751666667,16.2967613333333,0.13852991586908,0.103196238050277,0.182065047973834,0.12297575216187,0.102085130388405,0.175245953456431,0.119158852433291,0.102636369613199,0.14263457676187
09-16,15.446275,12.025505,17.46316,0,0,0.23771,0.118624543560875,0.102478329444337,0.150711502036716,0.120270228204953,0.101223870013817,0.184847824553039,0.120831866020713,0.0915650027493849,0.20816618397829,5.2291,0.96246,9.63967,15.0430558333333,13.3894985,16.275872,0.140466247146104,0.1030511787053,0.182356727746109,0.122988500672564,0.102068453272525,0.174577467330802,0.120149824035612,0.102628740901324,0.144515278792779
09-17,14.8087,11.204125,17.030675,0,0,0.15548,0.118215164885167,0.102388957186987,0.152162456417966,0.119518503458689,0.101191268464593,0.182373857763319,0.117956363735644,0.0929906607626776,0.185969018884558,5.19825,0.59557,10.67524,14.8701891666667,13.256736,16.1865476666667,0.141152643606368,0.102451596097723,0.182532475092495,0.123092960859608,0.102053564416794,0.176536406588243,0.120992675043934,0.102622771818128,0.146433614976131
09-18,14.76435,9.548075,17.41392,0,0,0.4212,0.118416434091136,0.102302922780916,0.153381024431899,0.118682994813404,0.101146802599179,0.184280360634858,0.116226981654011,0.0933262711901015,0.224778130189235,4.94705,0.92249,10.44267,14.7103941666667,13.1503805,16.052436,0.14102469053443,0.100128286294481,0.183037187182117,0.124483602452794,0.102041263163243,0.180510773126519,0.121455635348073,0.102620889029612,0.147435266007741
09-19,14.9428,11.032055,16.313455,0,0,0.19759,0.117726901427263,0.102199904142642,0.154396557416827,0.120387232627771,0.101069071679553,0.183575146232679,0.113292095244382,0.0927087081601545,0.220286398608029,4.8133,1.0975,10.22838,14.4149466666667,13.096295,15.888761,0.14033768593139,0.0984264320961711,0.18292064429733,0.1252885206638,0.102033757955097,0.184456575371946,0.121463888150105,0.102625588068714,0.148353431336242
09-20,14.5705,11.22915,17.561385,0,0,0.19076,0.119423216888344,0.102134392329786,0.155220123245375,0.11957520537125,0.101035512030649,0.181455804972116,0.113100918836875,0.0923823036774509,0.209318334186936,4.70785,1.10491,10.49819,14.1990016666667,12.9433808333333,15.7496261666667,0.139639462939954,0.0997661933482285,0.180222054460728,0.125546748580962,0.102028569374127,0.188256378193694,0.121337788445735,0.102628290141027,0.149579378377048
09-21,14.504725,10.599515,16.96307,0,0,0.19213,0.119819305132016,0.102070803050199,0.155856437398705,0.118801711186288,0.101005538984796,0.179631530555028,0.108575228949287,0.0925754980091602,0.19525557351026,4.9351,1.17627,9.82103,13.9355883333333,12.660959,15.5984413333333,0.139178440722058,0.0993626268860525,0.177284630342717,0.125825041105736,0.102056620926317,0.190843968408954,0.121336000489386,0.102632374969293,0.151911692914067
09-22,13.7598,10.27778,17.046025,0,0,1.15233,0.119258269616183,0.102541707575616,0.156217239198081,0.126174544000243,0.101712756744505,0.181880801632511,0.123959838702069,0.0933569533897963,0.223122466320102,4.7181,1.21953,9.9389,13.71563,12.6408681666667,15.3140868333333,0.138943319790963,0.102319269794497,0.174712330623696,0.126272420726576,0.102100337275231,0.191425609057366,0.1218480615608,0.102639939562211,0.154716132594171
09-23,12.9836,9.180725,16.55648,0,0,1.75111,0.122111299534532,0.102469073817784,0.160090265031124,0.128251429715698,0.101692018101629,0.220691187201084,0.12233186927732,0.0919362141343533,0.233577764520355,4.71605,1.21953,9.92952,13.5744266666667,12.502913,15.0518788333333,0.137606624780673,0.103377284200569,0.173533943809875,0.127073877573484,0.102362917550465,0.191794675788163,0.122559458604784,0.102677787124719,0.158334959620228
09-24,13.5304,9.370875,16.68849,0,0,0.168070000000001,0.12343668806708,0.102403338897165,0.159450979435151,0.127746975437603,0.101660823970144,0.234468594863033,0.119835449392956,0.0912968690398183,0.225448149118187,4.7216,1.15484,9.05201,13.3732741666667,12.32083,15.0022815,0.136671182271142,0.104564231764717,0.176840372492186,0.128154469961475,0.102195893132168,0.192171300461165,0.123308737817047,0.102790474839792,0.159618182392883
09-25,13.608825,10.293135,16.25697,0,0,0.230560000000001,0.125242924454265,0.102338904025902,0.15956759676919,0.127411188828819,0.10161301742837,0.231944398061464,0.124419785051436,0.0918334681846052,0.213541794785069,3.8658,1.16005,11.08889,13.1693791666667,12.1227618333333,14.8378926666667,0.136114806087581,0.107169612358788,0.179453747182662,0.128789393427125,0.102110764299461,0.191301826343072,0.124066990073252,0.102722729943243,0.16094410778214
