Year,run,Prob
2018,1_1981,0.479371044556208
2019,1_1981,0.449348836969454
2020,1_1981,0.587329235137601
2018,1_1982,0.479371044556208
2019,1_1982,0.448545256588263
2020,1_1982,0.505751211561394
2018,1_1983,0.479371044556208
2019,1_1983,0.463236210658834
2020,1_1983,0.59583528735646
2018,1_1984,0.479371044556208
2019,1_1984,0.453340327684803
2020,1_1984,0.533470124380882
2018,1_1985,0.479372825941326
2019,1_1985,0.463270809322413
2020,1_1985,0.407398717615038
2018,1_1986,0.479372825941326
2019,1_1986,0.445021573253837
2020,1_1986,0.421261540349519
2018,1_1987,0.479372825941326
2019,1_1987,0.462021912131562
2020,1_1987,0.415410332710787
2018,1_1988,0.479372825941326
2019,1_1988,0.447951239370244
2020,1_1988,0.567816859331703
2018,1_1989,0.479372825941326
2019,1_1989,0.476860511965491
2020,1_1989,0.385323218299145
2018,1_1990,0.479372825941326
2019,1_1990,0.460379692560437
2020,1_1990,0.467374247788285
2018,1_1991,0.479372825941326
2019,1_1991,0.438942577468859
2020,1_1991,0.329561274179337
2018,1_1992,0.479371044556208
2019,1_1992,0.463204693275331
2020,1_1992,0.641710397215177
2018,1_1993,0.479372825941326
2019,1_1993,0.474740677739371
2020,1_1993,0.358509405462578
2018,1_1994,0.479371044556208
2019,1_1994,0.453763368107461
2020,1_1994,0.468974040305305
2018,1_1995,0.479371044556208
2019,1_1995,0.455466900078402
2020,1_1995,0.484979369475442
2018,1_1996,0.479372825941326
2019,1_1996,0.4594451451819
2020,1_1996,0.41062033621457
2018,1_1997,0.479372825941326
2019,1_1997,0.448258796367533
2020,1_1997,0.415887736913588
2018,1_1998,0.479371044556208
2019,1_1998,0.43906183248728
2020,1_1998,0.470895574649663
2018,1_1999,0.479372825941326
2019,1_1999,0.462842909405722
2020,1_1999,0.400176479999115
2018,1_2000,0.479372825941326
2019,1_2000,0.469826550615222
2020,1_2000,0.450053377459451
2018,1_2001,0.479371044556208
2019,1_2001,0.445071574820534
2020,1_2001,0.440688149155727
2018,1_2002,0.479371044556208
2019,1_2002,0.459679579239764
2020,1_2002,0.363050552319974
2018,1_2003,0.479371044556208
2019,1_2003,0.440670407823504
2020,1_2003,0.404299987336486
2018,1_2004,0.479372825941326
2019,1_2004,0.466261575967533
2020,1_2004,0.439998000394336
2018,1_2005,0.479371044556208
2019,1_2005,0.456148343213311
2020,1_2005,0.423296790665509
2018,1_2006,0.479371044556208
2019,1_2006,0.4536183885241
2020,1_2006,0.340615583438941
2018,1_2007,0.479371044556208
2019,1_2007,0.450768976730948
2020,1_2007,0.511304049260867
2018,1_2008,0.479372825941326
2019,1_2008,0.465141664076029
2020,1_2008,0.436926050523145
2018,1_2009,0.479372825941326
2019,1_2009,0.451554804145556
2020,1_2009,0.493178151216857
2018,1_2010,0.479371044556208
