Year,run,Prob
2018,3_1999,0.479372825941326
2019,3_1999,0.470439088954673
2020,3_1999,0.426518891712981
2018,3_2000,0.479372825941326
2019,3_2000,0.477435473225508
2020,3_2000,0.469733579423671
2018,3_2001,0.479371044556208
2019,3_2001,0.452621853796095
2020,3_2001,0.466776229943567
2018,3_2002,0.479371044556208
2019,3_2002,0.467269004059142
2020,3_2002,0.383121825466232
2018,3_2003,0.479371044556208
2019,3_2003,0.448206327991747
2020,3_2003,0.434021716410826
2018,3_2004,0.479372825941326
2019,3_2004,0.473864366572322
2020,3_2004,0.460077706959112
2018,3_2005,0.479371044556208
2019,3_2005,0.463729503728643
2020,3_2005,0.449748444166568
2018,3_2006,0.479371044556208
2019,3_2006,0.461193158325328
2020,3_2006,0.366444394838585
2018,3_2007,0.479371044556208
2019,3_2007,0.458336079182788
2020,3_2007,0.531034062727274
2018,3_2008,0.479372825941326
2019,3_2008,0.472742367786074
2020,3_2008,0.464379938507685
2018,3_2009,0.479371044556208
2019,3_2009,0.45912387887858
2020,3_2009,0.518774175552318
2018,3_2010,0.479371044556208
2019,3_2010,0.475798346871157
2020,3_2010,0.641174891746295
2018,4_1981,0.479372825941326
2019,4_1981,0.44898773655179
2020,4_1981,0.574566042817234
2018,4_1982,0.479372211287341
2019,4_1982,0.448184140271005
2020,4_1982,0.504189205065092
2018,4_1983,0.479371044556208
2019,4_1983,0.462873153436645
2020,4_1983,0.59078756381595
2018,4_1984,0.479372825941326
2019,4_1984,0.452978729926648
2020,4_1984,0.528524136159511
2018,4_1985,0.479372825941326
2019,4_1985,0.462907690887236
2020,4_1985,0.400953524778619
2018,4_1986,0.479372825941326
2019,4_1986,0.44466093701613
2020,4_1986,0.420538611634224
2018,4_1987,0.479372825941326
2019,4_1987,0.46165894497696
2020,4_1987,0.407322658846544
2018,4_1988,0.479372825941326
2019,4_1988,0.447590100862814
2020,4_1988,0.563463622582886
2018,4_1989,0.479372825941326
2019,4_1989,0.476496169323655
2020,4_1989,0.380844693019194
2018,4_1990,0.479372825941326
2019,4_1990,0.460016869293501
2020,4_1990,0.462533170690259
2018,4_1991,0.479372825941326
2019,4_1991,0.438583017116741
2020,4_1991,0.329994126291463
2018,4_1992,0.479371044556208
2019,4_1992,0.462841653825176
2020,4_1992,0.640781395281832
2018,4_1993,0.479372825941326
2019,4_1993,0.474376514892615
2020,4_1993,0.353891211828674
2018,4_1994,0.479371044556208
2019,4_1994,0.453401435263376
2020,4_1994,0.459218730582103
2018,4_1995,0.479371044556208
2019,4_1995,0.455104668873663
2020,4_1995,0.474455127943159
2018,4_1996,0.479372825941326
2019,4_1996,0.45908241748565
2020,4_1996,0.409858477477424
2018,4_1997,0.479372825941326
2019,4_1997,0.447897596787541
2020,4_1997,0.406093763348667
2018,4_1998,0.479371044556208
2019,4_1998,0.438702165434499
2020,4_1998,0.470892663728146
2018,4_1999,0.479372825941326
2019,4_1999,0.462479837367879
2020,4_1999,0.398338673054486
2018,4_2000,0.479372825941326
2019,4_2000,0.469462802587582
2020,4_2000,0.444076583414202
2018,4_2001,0.479371044556208
2019,4_2001,0.444710873438698
2020,4_2001,0.439252311911648
2018,4_2002,0.479372825941326
2019,4_2002,0.459317087473588
2020,4_2002,0.352756507230904
2018,4_2003,0.479371044556208
2019,4_2003,0.440310500136451
2020,4_2003,0.40437112859721
2018,4_2004,0.479372825941326
2019,4_2004,0.465898191320596
2020,4_2004,0.433736054306455
2018,4_2005,0.479371044556208
2019,4_2005,0.455786167052684
2020,4_2005,0.419929613626166
2018,4_2006,0.479371044556208
2019,4_2006,0.453256432392955
2020,4_2006,0.339733360706571
2018,4_2007,0.479371044556208
2019,4_2007,0.450407419972978
2020,4_2007,0.505007691179723
2018,4_2008,0.479372825941326
2019,4_2008,0.464778377819812
2020,4_2008,0.435535058560953
2018,4_2009,0.479371044556208
2019,4_2009,0.451192914841687
2020,4_2009,0.489734736201212
2018,4_2010,0.479371044556208
2019,4_2010,0.467828467829691
2020,4_2010,0.612306528680154
2018,5_1981,0.479372825941326
2019,5_1981,0.455362918599061
2020,5_1981,0.618323972539495
2018,5_1982,0.479372211287341
2019,5_1982,0.454557425259493
2020,5_1982,0.537261144909638
2018,5_1983,0.479371044556208
2019,5_1983,0.469277667565216
2020,5_1983,0.625609769290605
2018,5_1984,0.479372825941326
2019,5_1984,0.459363423619378
2020,5_1984,0.566476096042229
2018,5_1985,0.479372825941326
2019,5_1985,0.469312366118584
2020,5_1985,0.437243542269563
2018,5_1986,0.479372825941326
2019,5_1986,0.451025128193956
2020,5_1986,0.454545215333779
2018,5_1987,0.479372825941326
2019,5_1987,0.468061370820495
2020,5_1987,0.446301095865745
2018,5_1988,0.479372825941326
2019,5_1988,0.453961902197498
2020,5_1988,0.601334963337766
2018,5_1989,0.479372825941326
2019,5_1989,0.482919764100976
2020,5_1989,0.41531495766931
2018,5_1990,0.479372825941326
2019,5_1990,0.466416295741993
2020,5_1990,0.500275144714116
2018,5_1991,0.479372825941326
2019,5_1991,0.444929884924925
2020,5_1991,0.356912136591799
2018,5_1992,0.479371044556208
2019,5_1992,0.469246127268429
2020,5_1992,0.680099136554866
2018,5_1993,0.479372825941326
2019,5_1993,0.480797749753123
2020,5_1993,0.386781013605996
2018,5_1994,0.479371044556208
2019,5_1994,0.459787122154569
2020,5_1994,0.500377589400204
2018,5_1995,0.479371044556208
2019,5_1995,0.461494133791078
2020,5_1995,0.515909814656811
2018,5_1996,0.479372825941326
2019,5_1996,0.465479978458902
2020,5_1996,0.442425391487039
2018,5_1997,0.479372825941326
2019,5_1997,0.454270218795991
2020,5_1997,0.453098078759413
2018,5_1998,0.479371044556208
2019,5_1998,0.445049462009752
2020,5_1998,0.503416623911372
2018,5_1999,0.479372825941326
2019,5_1999,0.468883703248394
2020,5_1999,0.431887534226907
2018,5_2000,0.479372825941326
2019,5_2000,0.47587771375274
2020,5_2000,0.496225334087482
2018,5_2001,0.479371044556208
2019,5_2001,0.45107527036078
2020,5_2001,0.477606498785886
2018,5_2002,0.479372825941326
2019,5_2002,0.465715059956098
2020,5_2002,0.393887572083914
2018,5_2003,0.479371044556208
2019,5_2003,0.446662463479376
2020,5_2003,0.436535249963978
2018,5_2004,0.479372825941326
2019,5_2004,0.472307785303729
2020,5_2004,0.47317718391435
2018,5_2005,0.479371044556208
2019,5_2005,0.46217699823275
2020,5_2005,0.455641429094892
2018,5_2006,0.479371044556208
2019,5_2006,0.459641808750081
2020,5_2006,0.369233722373137
2018,5_2007,0.479371044556208
2019,5_2007,0.456786192590224
2020,5_2007,0.551011558582762
2018,5_2008,0.479372825941326
2019,5_2008,0.471186171442254
2020,5_2008,0.468403287054403
2018,5_2009,0.479372825941326
2019,5_2009,0.457573713195189
2020,5_2009,0.52704097153175
2018,5_2010,0.479371044556208
2019,5_2010,0.474241052528385
2020,5_2010,0.646825933489306
