Date,avg_C_rollmean.med,avg_C_rollmean.10,avg_C_rollmean.90,avg_C_roll.10.diff,avg_C_roll.90.diff,RecentPast.avg_C.mean.med,RecentPast.avg_C_rollmean.med,RecentPast.avg_C.Diffs.Med,NearFut.avg_C.mean.med,NearFut.avg_C.mean.10,NearFut.avg_C.mean.90,NearFut.avg_C.Diffs.Med,NearFut.avg_C.Diffs.10,NearFut.avg_C.Diffs.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,ppt_roll.10.diff,ppt_roll.90.diff,RecentPast.ppt.mean.med,RecentPast.ppt_rollsum.med,RecentPast.ppt.Diffs.Med,NearFut.ppt.sum.med,NearFut.ppt.sum.10,NearFut.ppt.sum.90,NearFut.ppt.Diffs.Med,NearFut.ppt.Diffs.10,NearFut.ppt.Diffs.90,VWC.Shallow_rollmean.med,VWC.Shallow_rollmean.10,VWC.Shallow_rollmean.90,VWC.Shallow_roll.10.diff,VWC.Shallow_roll.90.diff,RecentPast.VWC.Shallow.mean.med,RecentPast.VWC.Shallow_rollmean.med,RecentPast.VWC.Shallow.Diffs.Med,NearFut.VWC.Shallow.mean.med,NearFut.VWC.Shallow.mean.10,NearFut.VWC.Shallow.mean.90,NearFut.VWC.Shallow.Diffs.Med,NearFut.VWC.Shallow.Diffs.10,NearFut.VWC.Shallow.Diffs.90,VWC.Intermediate_rollmean.med,VWC.Intermediate_rollmean.10,VWC.Intermediate_rollmean.90,VWC.Intermediate_roll.10.diff,VWC.Intermediate_roll.90.diff,RecentPast.VWC.Intermediate.mean.med,RecentPast.VWC.Intermediate_rollmean.med,RecentPast.VWC.Intermediate.Diffs.Med,NearFut.VWC.Intermediate.mean.med,NearFut.VWC.Intermediate.mean.10,NearFut.VWC.Intermediate.mean.90,NearFut.VWC.Intermediate.Diffs.Med,NearFut.VWC.Intermediate.Diffs.10,NearFut.VWC.Intermediate.Diffs.90,VWC.Deep_rollmean.med,VWC.Deep_rollmean.10,VWC.Deep_rollmean.90,VWC.Deep_roll.10.diff,VWC.Deep_roll.90.diff,RecentPast.VWC.Deep.mean.med,RecentPast.VWC.Deep_rollmean.med,RecentPast.VWC.Deep.Diffs.Med,NearFut.VWC.Deep.mean.med,NearFut.VWC.Deep.mean.10,NearFut.VWC.Deep.mean.90,NearFut.VWC.Deep.Diffs.Med,NearFut.VWC.Deep.Diffs.10,NearFut.VWC.Deep.Diffs.90,SWP.Shallow_rollmean.med,SWP.Shallow_rollmean.10,SWP.Shallow_rollmean.90,SWP.Shallow_roll.10.diff,SWP.Shallow_roll.90.diff,RecentPast.SWP.Shallow.mean.med,RecentPast.SWP.Shallow_rollmean.med,RecentPast.SWP.Shallow.Diffs.Med,NearFut.SWP.Shallow.mean.med,NearFut.SWP.Shallow.mean.10,NearFut.SWP.Shallow.mean.90,NearFut.SWP.Shallow.Diffs.Med,NearFut.SWP.Shallow.Diffs.10,NearFut.SWP.Shallow.Diffs.90,SWP.Intermediate_rollmean.med,SWP.Intermediate_rollmean.10,SWP.Intermediate_rollmean.90,SWP.Intermediate_roll.10.diff,SWP.Intermediate_roll.90.diff,RecentPast.SWP.Intermediate.mean.med,RecentPast.SWP.Intermediate_rollmean.med,RecentPast.SWP.Intermediate.Diffs.Med,NearFut.SWP.Intermediate.mean.med,NearFut.SWP.Intermediate.mean.10,NearFut.SWP.Intermediate.mean.90,NearFut.SWP.Intermediate.Diffs.Med,NearFut.SWP.Intermediate.Diffs.10,NearFut.SWP.Intermediate.Diffs.90,SWP.Deep_rollmean.med,SWP.Deep_rollmean.10,SWP.Deep_rollmean.90,SWP.Deep_roll.10.diff,SWP.Deep_roll.90.diff,RecentPast.SWP.Deep.mean.med,RecentPast.SWP.Deep_rollmean.med,RecentPast.SWP.Deep.Diffs.Med,NearFut.SWP.Deep.mean.med,NearFut.SWP.Deep.mean.10,NearFut.SWP.Deep.mean.90,NearFut.SWP.Deep.Diffs.Med,NearFut.SWP.Deep.Diffs.10,NearFut.SWP.Deep.Diffs.90
2020-05-03,9.39,7.82333333333334,11.9316666666667,-1.56666666666667,2.54166666666667,12.3,12.46,3.07000000000001,,,,,,,1.5,0.13,4.12,-1.37,2.62,0,0.84,-0.66,,,,,,,0.148521420122469,0.114483757193674,0.182615332299993,-0.0340376629287954,0.0340939121775235,0.14303671678846,0.153649292826869,0.00512787270439916,,,,,,,0.210871464060291,0.128440951272166,0.232805263031968,-0.0824305127881246,0.0219337989716776,0.210068563381165,0.209369239556039,-0.0015022245042518,,,,,,,0.222347152700927,0.131381505535131,0.239668770253033,-0.0909656471657966,0.0173216175521054,0.218629886280935,0.217105594984536,-0.00524155771639079,,,,,,,-0.5201027915187,-2.06915999396574,-0.173770190427989,-1.54905720244704,0.346332601090711,-0.635010873428039,-0.434395855207203,0.0857069363114973,,,,,,,-0.0810057457344602,-1.12397896962921,-0.0479218472926795,-1.04297322389475,0.0330838984417807,-0.0826618026946371,-0.0841370960930143,-0.00313135035855411,,,,,,,-0.0611544173114622,-0.996795827406017,-0.041076326293294,-0.935641410094555,0.0200780910181683,-0.0668761515619173,-0.0694049723783894,-0.00825055506692719,,,,,,
2020-05-04,9.465,7.845,12.28,-1.62,2.815,12.45,12.5333333333333,3.06833333333335,,,,,,,1.5,0.13,4.12,-1.37,2.62,0,0.84,-0.66,,,,,,,0.149952947985625,0.113748203367174,0.181566677395744,-0.0362047446184517,0.0316137294101187,0.143072235690447,0.151771536853646,0.00181858886802025,,,,,,,0.209803717624552,0.127362687982322,0.231388496225767,-0.0824410296422295,0.0215847786012151,0.208555172052959,0.207737249275987,-0.00206646834856519,,,,,,,0.221507093863551,0.130596114816905,0.239216342892451,-0.0909109790466459,0.0177092490289,0.217725099111291,0.216192880308297,-0.00531421355525413,,,,,,,-0.494298173679025,-2.14113725804997,-0.179161037365414,-1.64683908437095,0.315137136313611,-0.634175003611658,-0.463677063695971,0.0306211099830535,,,,,,,-0.0832168758268889,-1.17538830948711,-0.0494990960481512,-1.09217143366022,0.0337177797787377,-0.0858940552014855,-0.0877034254114438,-0.00448654958455495,,,,,,,-0.062394871957858,-1.02901169455204,-0.0414901383067298,-0.966616822594181,0.0209047336511282,-0.068363729628847,-0.0709735882759279,-0.0085787163180699,,,,,,
2020-05-05,9.82,7.90833333333334,12.475,-1.91166666666667,2.655,13.25,12.5183333333333,2.69833333333335,,,,,,,1.34,0.14,3.98,-1.2,2.64,0,0.84,-0.5,,,,,,,0.151746523948614,0.112989169215437,0.181526592989255,-0.0387573547331764,0.0297800690406413,0.143022568760419,0.150168035379315,-0.0015784885692991,,,,,,,0.208696356707794,0.126276340888154,0.229892728235372,-0.0824200158196406,0.0211963715275773,0.206993408340581,0.206091253873806,-0.00260510283398827,,,,,,,0.220636672122152,0.129794186734938,0.238731451763706,-0.0908424853872136,0.0180947796415544,0.216771751475726,0.215243095731385,-0.00539357639076743,,,,,,,-0.464082666057188,-2.2185540740193,-0.179371013812987,-1.75447140796211,0.284711652244201,-0.635344184977224,-0.490553853748199,-0.0264711876910113,,,,,,,-0.085586240950185,-1.23003416173495,-0.0512317223161393,-1.14444792078476,0.0343545186340457,-0.0893883680449464,-0.0914838325245697,-0.0058975915743847,,,,,,,-0.0637118380091411,-1.0631909410374,-0.0419391562454594,-0.999479103028261,0.0217726817636817,-0.0699738986188817,-0.0726508601945559,-0.0089390221854148,,,,,,
2020-05-06,10.205,8.16,12.475,-2.045,2.27,14.55,12.6233333333333,2.41833333333334,,,,,,,1.34,0.13,3.67,-1.21,2.33,0,0.84,-0.5,,,,,,,0.151141414703344,0.11222325117482,0.179205073400652,-0.0389181635285238,0.0280636586973079,0.142876027271912,0.148805491067533,-0.00233592363581112,,,,,,,0.20754223067841,0.125181450456278,0.228339044709146,-0.0823607802221316,0.0207968140307359,0.205358377117354,0.204432459706056,-0.00310977097235407,,,,,,,0.219731474639356,0.128976462572055,0.238214788547057,-0.0907550120673004,0.0184833139077011,0.215754356899419,0.214255163822226,-0.00547631081712963,,,,,,,-0.474024672678937,-2.30006878651645,-0.192046757613075,-1.82604411383752,0.281977915065863,-0.638808796189623,-0.514857158040536,-0.040832485361599,,,,,,,-0.0881415018776114,-1.2881924031502,-0.0531083086173095,-1.20005090127259,0.0350331932603019,-0.093229191286757,-0.0954911994251476,-0.00734969754753616,,,,,,,-0.065116617068965,-1.09944200715832,-0.0424239662089124,-1.03432539008936,0.0226926508600526,-0.0717422150095142,-0.0744457294041964,-0.00932911233523136,,,,,,
2020-05-07,10.2816666666667,8.135,12.4783333333333,-2.14666666666667,2.19666666666666,14.3,12.665,2.38333333333334,,,,,,,1.5,0.08,3.67,-1.42,2.17,0,0.84,-0.66,,,,,,,0.149162135402844,0.111465559157545,0.180517743457097,-0.0376965762452987,0.0313556080542527,0.142682960984282,0.147682784956582,-0.00147935044626146,,,,,,,0.20611787538041,0.124085584627261,0.226724325140082,-0.0820322907531489,0.0206064497596714,0.203725795168398,0.202768315229782,-0.00334956015062771,,,,,,,0.218787943855136,0.128148330785453,0.237665292625806,-0.0906396130696831,0.0188773487706703,0.214712744677301,0.213230640894728,-0.00555730296040813,,,,,,,-0.5083601428437,-2.38423421509299,-0.1847533303259,-1.87587407224929,0.3236068125178,-0.643407713148804,-0.535963660882833,-0.027603518039133,,,,,,,-0.0914211673904425,-1.34970439477837,-0.055145846650682,-1.25828322738793,0.0362753207397605,-0.0972615484717354,-0.0997228845673858,-0.00830171717694334,,,,,,,-0.0666202498069489,-1.13766161539693,-0.0429469122088916,-1.07104136558998,0.0236733375980572,-0.073607924133238,-0.0763630262596905,-0.00974277645274164,,,,,,
2020-05-08,10.485,8.16166666666667,12.6666666666667,-2.32333333333334,2.18166666666666,13.9,12.7,2.21500000000001,,,,,,,1.34,0.08,3.67,-1.26,2.33,0,0.84,-0.5,,,,,,,0.148031249979188,0.110706163127849,0.179044100597144,-0.0373250868513389,0.0310128506179554,0.14245236536454,0.146788333664635,-0.00124291631455273,,,,,,,0.204663587784387,0.122985488248532,0.225048422035842,-0.0816780995358548,0.0203848342514555,0.20210747009591,0.201104287998299,-0.00355929978608788,,,,,,,0.217803799541556,0.127308730651646,0.237085006541656,-0.0904950688899106,0.0192812070001002,0.213653133996394,0.212170244455406,-0.00563355508615038,,,,,,,-0.529304399026438,-2.4722872516851,-0.192964509622712,-1.94298285265867,0.336339889403726,-0.648952263666725,-0.553517941119755,-0.0242135420933171,,,,,,,-0.094920502943981,-1.41499708706382,-0.0573596234680854,-1.32007658411984,0.0375608794758957,-0.101464909805059,-0.104178995109084,-0.00925849216510294,,,,,,,-0.0682327858076676,-1.17803348950153,-0.0435074999400599,-1.10980070369387,0.0247252858676077,-0.075565343161442,-0.0784095885380495,-0.0101768027303819,,,,,,
2020-05-09,10.5383333333333,8.37,12.8983333333333,-2.16833333333333,2.36,14,12.6783333333333,2.14000000000001,,,,,,,1.15,0.05,3.42,-1.1,2.27,0,0.84,-0.31,,,,,,,0.147557631172119,0.109945901290506,0.176621148053288,-0.037611729881613,0.0290635168811686,0.142172579873296,0.146107123426454,-0.00145050774566546,,,,,,,0.203175733062235,0.121879698053909,0.223333759439069,-0.0812960350083264,0.0201580263768343,0.200482626123739,0.199448296122303,-0.00372743693993211,,,,,,,0.216776786739947,0.12645440211858,0.236455713287094,-0.0903223846213671,0.0196789265471472,0.212563502029359,0.211076904557739,-0.0056998821822081,,,,,,,-0.538379655410622,-2.56433935040932,-0.207428669931387,-2.0259596949987,0.330950985479235,-0.655755996206563,-0.567346784781971,-0.028967129371349,,,,,,,-0.0986666169344393,-1.48444601508982,-0.0597347920681649,-1.38577939815538,0.0389318248662743,-0.105904205152612,-0.108850498111026,-0.010183881176587,,,,,,,-0.0699652765947102,-1.22087360851098,-0.0441252898820738,-1.15090833191627,0.0258399867126364,-0.0776430860597392,-0.0805883608468094,-0.0106230842520992,,,,,,
2020-05-10,10.9433333333333,8.665,12.9166666666667,-2.27833333333333,1.97333333333333,14.6,12.6283333333333,1.68500000000001,,,,,,,0.97,0.05,3.12,-0.92,2.15,0.84,0.84,-0.13,,,,,,,0.145778213383117,0.109191001148054,0.174250168048856,-0.0365872122350626,0.028471954665739,0.19064098048699,0.145615060066597,-0.000163153316519699,,,,,,,0.201667392522451,0.120778310952601,0.221586626529212,-0.0808890815698503,0.0199192340067609,0.199194661930477,0.197806650671229,-0.0038607418512222,,,,,,,0.21570643467573,0.125588639510204,0.235714776979284,-0.0901177951655255,0.0200083423035544,0.211615393560637,0.209953622601152,-0.00575281207457742,,,,,,,-0.574170608337464,-2.65980069804023,-0.222846833953973,-2.08563008970277,0.35132377438349,-0.138319384918066,-0.577591689666022,-0.00342108132855801,,,,,,,-0.102645053483647,-1.55768247768295,-0.0622761582817644,-1.4550374241993,0.0403688952018825,-0.109587784563252,-0.11372931041594,-0.0110842569322929,,,,,,,-0.0718268094291337,-1.26618943826897,-0.0448660979924427,-1.19436262883984,0.026960711436691,-0.0795064072019268,-0.0829021574998669,-0.0110753480707332,,,,,,
2020-05-11,11.1683333333333,8.935,13.135,-2.23333333333333,1.96666666666667,13.2,12.6416666666667,1.47333333333335,,,,,,,1.03,0.05,2.87,-0.98,1.84,0,0.84,-0.19,,,,,,,0.14540448466116,0.108444433960942,0.171137986490751,-0.0369600507002174,0.0257335018295918,0.180998322342716,0.145282768846941,-0.000121715814218493,,,,,,,0.20014230167188,0.119684801664913,0.219812714342816,-0.0804575000069669,0.019670412670936,0.197803073093353,0.196179969310247,-0.00396233236163299,,,,,,,0.214593541151847,0.124715253040933,0.234924840293079,-0.0898782881109145,0.0203312991412317,0.210611095793601,0.208799961698004,-0.00579357945384365,,,,,,,-0.582043022067986,-2.75839067935215,-0.245204014628319,-2.17634765728416,0.336839007439668,-0.182165797423665,-0.584634554033499,-0.00259153196551232,,,,,,,-0.106863037114494,-1.63468247060321,-0.0649890474536552,-1.52781943348872,0.0418739896608388,-0.113740223079432,-0.118822132064616,-0.0119590949501225,,,,,,,-0.0738250950662094,-1.31394441568874,-0.0456722382878677,-1.24011932062253,0.0281528567783417,-0.0815384224632322,-0.0853611926404986,-0.0115360975742892,,,,,,
2020-05-12,11.1016666666667,9.07166666666667,13.075,-2.03,1.97333333333333,11.75,12.7783333333333,1.67666666666668,,,,,,,1.01,0.05,2.6,-0.96,1.59,0,0.84,-0.17,,,,,,,0.145018120509713,0.107655607630086,0.168358679599143,-0.0373625128796266,0.0233405590894302,0.172288229283321,0.144990512185817,-2.76083238954783e-05,,,,,,,0.19860247180713,0.118604492469058,0.218019277728833,-0.0799979793380722,0.0194168059217026,0.196345787814882,0.194553686071617,-0.00404878573551348,,,,,,,0.213439841322035,0.123837280869237,0.234033368455693,-0.0896025604527983,0.0205935271336578,0.209572945237048,0.207612968077439,-0.00582687324459655,,,,,,,-0.590316836590373,-2.86731800044862,-0.267455133537514,-2.27700116385824,0.322861703052859,-0.236643361758193,-0.590913389570669,-0.000596552980296261,,,,,,,-0.111332448092293,-1.71523558991714,-0.0678757900886521,-1.60390314182485,0.0434566580036412,-0.118290752711617,-0.124186952635804,-0.0128545045435105,,,,,,,-0.0759668035451108,-1.36412323790213,-0.0466027647823979,-1.28815643435702,0.029364038762713,-0.0837041516135651,-0.0879823022902034,-0.0120154987450926,,,,,,
